School_ID,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,ndvi_median,Land_Surface_Temp_median,Year_built,Median_income_BG_2021,Percent_FRPM,Student_Staff_Ratio,Students_with_Disabilities_mean,Asthma_Rates,Covid19_rate_of_infection_1000_people,Pollution_Burden,Chronic_Abs_Avg_Rate,retrofit,ndvi_median_binary,retrofit_and_ndvi,Diversity_Index
27800000000000_1,0,88.31,0,0.32,0.13,26.74,1997,73614,NA,NA,NA,49.82,39.52,45.09,NA,1,0,0,0.08
27800000000000_2,0,100,0,0,0.13,26.83,NA,69531,89.5,8,NA,49.82,39.52,45.09,17.9,1,0,0,0.09
1610000000000_3,0,35.48,0,64.52,0.16,31.64,1963,74788,NA,NA,NA,30.08,19.56,36.19,NA,0,0,0,0.63
42700000000000_4,0,86.19,1.35,11.19,0.16,29.92,1938,78030,37,26,NA,37.27,51.99,28.63,7.6,1,0,0,0.55
42700000000000_5,0,73.28,3.88,22.84,0.14,29.83,1938,78030,NA,NA,NA,37.27,51.99,28.63,NA,1,0,0,0.55
42700000000000_6,NA,NA,NA,NA,0.14,29.83,1938,78030,NA,NA,NA,37.27,51.99,28.63,NA,1,0,0,0.55
42700000000000_7,0,85.53,1.89,12.58,0.14,29.89,1938,78030,37,26,NA,37.27,51.99,28.63,7.6,1,0,0,0.55
42700000000000_8,NA,NA,NA,NA,0.14,29.83,1938,78030,NA,NA,NA,37.27,51.99,28.63,NA,1,0,0,0.55
42700000000000_9,NA,NA,NA,NA,0.14,29.83,1938,78030,NA,NA,NA,37.27,51.99,28.63,NA,1,0,0,0.55
52700000000000_10,0,45.85,0,53.03,0.18,28.71,1997,NA,NA,NA,NA,69.27,60.29,43.68,NA,1,0,0,NA
9620000000000_11,0.64,21.48,2.23,75.66,0.18,28.11,2002,184936,NA,NA,558.5,18.58,18.13,20.24,NA,1,0,0,0.33
31700000000000_12,0,51.07,9.91,39.02,0.22,26.83,1963,97604,20,16,NA,23.87,42.85,30.44,17.85,0,0,0,0.31
10600000000000_13,0,100,0,0,0.11,31.49,2007,23466,98.5,1,NA,70.53,29.25,44.05,40.3,0,0,0,0.37
45700000000000_14,2.94,24.09,8.66,64.31,0.22,26.96,2016,95625,NA,NA,NA,27.09,54.48,15.92,NA,1,0,0,0.28
15600000000000_15,0.32,65.52,0,0,0.11,33.15,2011,28379,93,1,NA,84.72,27.08,50.34,66.15,0,0,0,NA
43700000000000_16,0,98.64,0,1.36,0.12,28.48,1975,148385,50.5,9,745.5,46.54,52.82,27.14,13.8,0,0,0,0.56
7620000000000_17,0,77.7,2.86,19.44,0.2,27.39,1940,180781,NA,NA,NA,21.04,21.42,32,NA,0,0,0,NA
29700000000000_18,0.96,19.9,44.9,34.24,0.25,25.2,NA,63958,NA,NA,NA,54.74,41.19,29.64,NA,1,1,1,0.36
29700000000000_19,0.4,53.07,20.51,26.02,0.23,26.23,NA,139143,44.5,7,NA,NA,NA,NA,29.35,1,0,0,NA
29700000000000_20,NA,NA,NA,NA,0.23,26.23,NA,139143,44.5,7,NA,NA,NA,NA,29.35,1,0,0,NA
51700000000000_22,1.35,19.01,0,0.32,0.18,28.26,2005,81429,NA,NA,NA,27.29,59.46,44.3,NA,0,0,0,0.39
31800000000000_23,0,99.92,0,0.08,0.14,28.83,1952,78036,30.5,4,NA,47.46,42.85,38.96,11.35,0,0,0,0.49
58100000000000_24,5.51,88.99,0,0,0.12,28.35,2007,NA,NA,NA,NA,50.32,65.28,47.52,NA,0,0,0,NA
27700000000000_25,0,98.24,0,0.8,0.12,25.9,2000,60875,NA,NA,NA,61.88,39.52,37.44,NA,0,0,0,0.16
16700000000000_26,0,73.91,0,26.09,0.1,34.95,NA,59024,NA,NA,1792,45.07,42.51,20.5,NA,1,0,0,NA
31800000000000_27,0.88,83.23,2.96,12.94,0.18,26.58,1992,142738,15,13,NA,25.19,42.85,19.65,14.55,0,0,0,NA
42700000000000_28,0,37.42,0,52.15,0.17,28.67,1961,67130,89,2,NA,41.05,51.99,33.96,18.6,0,0,0,0.09
42700000000000_29,0,52.22,21.43,26.35,0.19,26.92,1966,98429,35.5,8,NA,44.75,51.99,31.91,23,0,0,0,NA
31800000000000_30,1.74,79.41,0.73,18.12,0.2,26.92,2001,155804,8,5,NA,25.53,42.85,11.84,7.2,0,0,0,0.33
1750000000000_31,0,94.99,0,5.01,0.12,28.2,2005,250000,NA,NA,370.5,32.04,19.56,30.77,NA,0,0,0,0.57
31800000000000_32,0.26,80.99,11.33,7.42,0.14,28.64,1952,78036,NA,NA,1058,47.46,42.85,38.96,NA,0,0,0,0.49
1610000000000_33,0,97.37,0,2.63,0.14,29.86,1960,157500,NA,NA,745.5,31.1,19.56,24.21,NA,1,0,0,0.46
54700000000000_34,0,50.48,0,6.37,0.17,29.39,NA,52688,95,5,NA,NA,61.96,NA,18.95,1,0,0,0.1
57700000000000_35,0,100,0,0,0.19,28.11,1912,78750,59.5,6,NA,51.44,64.45,45.88,17.95,0,0,0,0.5
1750000000000_36,0,97.64,0,2.36,0.15,28.17,2007,246548,NA,NA,NA,32.04,19.56,30.77,NA,0,0,0,0.52
7620000000000_37,0.48,64.06,11.95,23.51,0.2,27.08,1962,159167,NA,NA,NA,16.2,21.42,36.96,NA,1,0,0,NA
39700000000000_38,0,100,0,0,0.14,30.77,1921,30978,88.5,1,NA,98.75,49.49,58.55,40.75,0,0,0,0.37
10600000000000_39,0,91.47,0,0,0.17,29.52,1957,117370,NA,NA,NA,71.87,29.25,56.21,NA,0,0,0,NA
43700000000000_40,0,100,0,0,0.13,29.08,1963,176750,6.5,4,NA,9.84,52.82,41.31,1.9,0,0,0,0.33
27800000000000_41,0,35.93,0,0,0.12,25.68,2019,54607,NA,NA,NA,49.82,39.52,45.09,NA,0,0,0,NA
