,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,income,School_Type
1,52700000000000_10,0.18,0,46.37,0,53.63,28.71,1997,120689,82,5.5,0.63,14.5,69.27,60.29,43.68,32.45,1,0,0,high income,Prop. 39 School
2,9620000000000_11,0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,19,17.37,0.47,42,18.58,18.13,20.24,18,1,0,0,high income,Prop. 39 School
3,43700000000000_16,0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,0.63,1523.5,46.54,52.82,27.14,14.1,0,0,0,high income,Control School
4,7620000000000_17,0.2,0,77.7,2.86,19.44,27.39,1940,180781,36,29.7,0.47,161,21.04,21.42,32,9.65,0,0,0,high income,Control School
5,29700000000000_19,0.23,0.4,53.07,20.51,26.02,26.23,2015,139143,44.5,5.11,0.47,42.5,9.84,34.44,26.26,4.3,1,0,0,high income,Prop. 39 School
6,29700000000000_20,0.23,0,99.2,0,0.08,26.23,1971,139143,44.5,5.11,0.57,241,21.41,34.44,16.2,7.45,1,0,0,high income,Prop. 39 School
7,31800000000000_27,0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,49.86,0.43,271.5,25.19,42.85,19.65,13.95,0,0,0,high income,Control School
8,31800000000000_30,0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,12.9,0.47,13,25.53,42.85,11.84,7.05,0,0,0,high income,Control School
9,1750000000000_31,0.12,0,94.99,0,5.01,28.2,2005,250000,19,20.2,0.61,241,32.04,19.56,30.77,2.1,0,0,0,high income,Control School
10,1610000000000_33,0.14,0,97.37,0,2.63,29.86,1960,157500,14,17.42,0.43,205,31.1,19.56,24.21,7.35,1,0,0,high income,Prop. 39 School
11,1750000000000_36,0.15,0,97.64,0,2.36,28.17,2007,246548,19,14.04,0.63,1523.5,32.04,19.56,30.77,4.65,0,0,0,high income,Control School
12,7620000000000_37,0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,9,24.29,0.47,42.5,16.2,21.42,36.96,6.25,1,0,0,high income,Prop. 39 School
13,10600000000000_39,0.17,0,100,0,0,29.52,1957,117370,75,8.97,0.63,241,71.87,29.25,56.21,17.1,0,0,0,high income,Control School
14,43700000000000_40,0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,0.61,27.5,9.84,52.82,41.31,2.15,0,0,0,high income,Control School
15,10600000000000_55,0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,0.63,241,56.04,29.25,59.95,26.1,1,0,0,high income,Prop. 39 School
16,10600000000000_61,0.16,0,100,0,0,28.15,1991,151250,41,45.46,0.56,42.5,25.47,29.25,37.15,12.1,1,0,0,high income,Prop. 39 School
17,10600000000000_62,0.16,0,100,0,0,28.52,1994,151250,34,27.46,0.61,241,25.47,29.25,37.15,11.6,0,0,0,high income,Control School
18,10600000000000_63,0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,57.03,0.57,13,24.94,29.25,40.27,13.45,1,0,0,high income,Prop. 39 School
19,10600000000000_64,0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,35.08,0.47,241,46.67,29.25,33.98,16.95,1,0,0,high income,Prop. 39 School
20,10600000000000_66,0.16,0,100,0,0,28.15,1991,151250,41,45.46,0.57,464,25.47,29.25,37.15,12.1,1,0,0,high income,Prop. 39 School
21,43700000000000_67,0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,0.63,13,35.25,52.82,27.26,4.05,0,0,0,high income,Control School
22,43700000000000_68,0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,0.61,241,22,52.82,30.02,3.3,0,0,0,high income,Control School
23,43700000000000_72,0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,0.61,1523.5,22.02,52.82,21.72,1.55,0,0,0,high income,Control School
