,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Diversity_Index,Students_with_Disabilities,Staff,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,School_Type,income
9620000000000_11,0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,40,0.63,13,17.37,18.58,18.13,20.24,18,1,0,0,Prop. 39 School,high income
43700000000000_16,0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,0.63,32.5,10.51,46.54,52.82,27.14,14.1,0,0,0,Control School,high income
7620000000000_17,0.2,0,77.7,2.86,19.44,27.39,1940,180781,22,0.63,38.5,29.7,21.04,21.42,32,9.65,0,0,0,Control School,high income
29700000000000_19,0.23,0.4,53.07,20.51,26.02,26.23,1993,139143,44.5,0.61,13,5.11,32.95,29.25,36.75,4.25,1,0,0,Prop. 39 School,high income
29700000000000_20,0.23,0,98.65,4.12,0.57,26.23,1967,139143,44.5,0.56,929,5.11,32.65,34.92,34.25,28.85,1,0,0,Prop. 39 School,high income
58100000000000_24,0.12,5.83,94.17,0,0,28.35,2007,115524,40,0.63,91,4.94,50.32,65.28,47.52,52.6,0,0,0,Control School,high income
31800000000000_27,0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,0.63,241,49.86,25.19,42.85,19.65,13.95,0,0,0,Control School,high income
31800000000000_30,0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,0.63,13,12.9,25.53,42.85,11.84,7.05,0,0,0,Control School,high income
1750000000000_31,0.12,0,94.99,0,5.01,28.2,2005,250000,60,0.63,241,20.2,32.04,19.56,30.77,2.1,0,0,0,Control School,high income
1610000000000_33,0.14,0,97.37,0,2.63,29.86,1960,157500,0,0.46,241,17.42,31.1,19.56,24.21,7.35,1,0,0,Prop. 39 School,high income
1750000000000_36,0.15,0,97.64,0,2.36,28.17,2007,246548,19,0.63,199,14.04,32.04,19.56,30.77,4.65,0,0,0,Control School,high income
7620000000000_37,0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,10,0.56,241,24.29,16.2,21.42,36.96,6.25,1,0,0,Prop. 39 School,high income
10600000000000_39,0.17,0,100,0,0,29.52,1957,117370,96,0.63,83,19.24,71.87,29.25,56.21,17.1,0,0,0,Control School,high income
43700000000000_40,0.13,0,100,0,0,29.08,1963,176750,6.5,0.63,241,15.42,9.84,52.82,41.31,2.15,0,0,0,Control School,high income
10600000000000_55,0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,0.61,1894.5,15.33,56.04,29.25,59.95,26.1,1,0,0,Prop. 39 School,high income
10600000000000_57,0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,0.47,55,47.09,43.29,29.25,36.63,22.45,1,0,0,Prop. 39 School,high income
10600000000000_61,0.16,0,100,0,0,28.15,1991,151250,41,0.57,13,45.46,25.47,29.25,37.15,12.1,1,0,0,Prop. 39 School,high income
10600000000000_62,0.16,0,100,0,0,28.52,1994,151250,34,0.63,241,27.46,25.47,29.25,37.15,11.6,0,0,0,Control School,high income
10600000000000_63,0.14,0,94.9,0,5.1,27.64,2000,123393,58.5,0.56,42,57.03,24.94,29.25,40.27,13.45,1,0,0,Prop. 39 School,high income
10600000000000_64,0.16,0,99.92,0,0.08,29.8,1976,132788,50.5,0.47,241,35.08,46.67,29.25,33.98,16.95,1,0,0,Prop. 39 School,high income
10600000000000_66,0.16,0,98.71,0,0,28.15,1991,151250,41,0.57,42.5,45.46,25.47,29.25,37.15,12.1,1,0,0,Prop. 39 School,high income
43700000000000_67,0.13,0,100,0,0,27.96,1966,167269,34.5,0.63,615,7.7,35.25,52.82,27.26,4.05,0,0,0,Control School,high income
43700000000000_68,0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,0.63,241,8.28,22,52.82,30.02,3.3,0,0,0,Control School,high income
43700000000000_72,0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,0.63,241,13.96,22.02,52.82,21.72,1.55,0,0,0,Control School,high income
43700000000000_73,0.11,0,100,0,0,28.55,1985,179583,28,0.63,23,12.63,33.52,52.82,23.13,6.45,0,0,0,Control School,high income
43700000000000_74,0.11,0,99.49,0,0.51,28.82,1967,112014,41,0.63,1523.5,9.13,32.48,52.82,31.89,8.1,0,0,0,Control School,high income
43700000000000_75,0.1,0,99.17,0,0.83,28.58,1988,138864,19,0.63,241,22.54,46.54,52.82,35.93,23.95,0,0,0,Control School,high income
43700000000000_76,0.11,0,100,0,0,28.84,1969,142957,38.5,0.63,13,9.21,41.77,52.82,17.26,8.4,0,0,0,Control School,high income
9620000000000_90,0.22,0.32,16.96,13,69.73,27.79,1956,160438,10,0.56,32.5,18.09,29.48,18.13,24.19,18.95,1,0,0,Prop. 39 School,high income
9620000000000_91,0.19,0,91.51,4.12,4.36,26.48,1981,115075,55,0.47,1523.5,14.07,19.68,18.13,17.09,13.25,1,0,0,Prop. 39 School,high income
9620000000000_92,0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,0,0.63,241,8.79,34.49,18.13,20.54,15.05,0,0,0,Control School,high income
9620000000000_93,0.19,0,84.86,0,2.72,26.48,1981,115075,25,0.47,1523.5,14.07,19.68,18.13,17.09,13.25,1,0,0,Prop. 39 School,high income
39700000000000_99,0.24,0,100,0,0,26.29,1952,171534,41.5,0.63,42,8.44,37.33,49.49,63.06,13.55,0,1,0,Control School,high income
1610000000000_100,0.11,0,100,0,0,27.86,2003,117917,91,0.61,98.5,6.5,80.37,19.56,37.46,41.35,0,0,0,Control School,high income
41700000000000_101,0.15,0,100,0,0,27.17,1923,138869,38.5,0.63,361.5,62.98,20.95,51.16,36.06,20.75,0,0,0,Control School,high income
9620000000000_106,0.19,0,74.26,5.6,20.14,27.17,1981,163333,0,0.61,16,44.21,21.27,18.13,17.67,10,0,0,0,Control School,high income
9620000000000_107,0.2,0,78.72,7.13,14.14,27.14,1981,163333,55,0.63,16,44.21,21.27,18.13,17.67,10,0,0,0,Control School,high income
9620000000000_111,0.23,0.32,48.73,36.17,14.79,25.49,1963,160438,19,0.63,16,36.26,29.48,18.13,24.19,13.15,0,0,0,Control School,high income
1610000000000_117,0.16,0,100,0,0,24.67,1935,250000,40,0.63,27.5,7.57,39.19,19.56,35.33,4.95,0,0,0,Control School,high income
1610000000000_119,0.13,0,100,0,0,25.82,1950,158750,24,0.63,1894.5,16.57,20.47,19.56,33.02,13.95,0,0,0,Control School,high income
1610000000000_120,0.17,0,98.88,1.02,0.1,24.17,1940,208906,10,0.63,241,14.9,31.66,19.56,30.32,6.7,0,0,0,Control School,high income
44700000000000_121,0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,0.61,241,14.76,56.91,53.65,44.73,35.45,0,0,0,Control School,high income
43700000000000_130,0.11,0,99.2,0,0.8,28.74,1975,129904,36,0.63,464,18.26,32.76,52.82,25.85,16.35,0,0,0,Control School,high income
43700000000000_131,0.13,0,99.84,0,0.16,29.07,1962,142162,9,0.61,32.5,9.93,16.56,52.82,21.23,4.65,0,0,0,Control School,high income
43700000000000_132,0.13,0,100,0,0,28.83,1957,236324,33,0.63,241,9.64,11.12,52.82,28.54,12.75,0,0,0,Control School,high income
43700000000000_133,0.16,0,100,0,0,27.21,1957,213906,2.5,0.63,85.5,14.49,8.54,52.82,33.59,2.5,0,0,0,Control School,high income
43700000000000_134,0.13,0,97.04,0,2.96,29.58,1957,175385,7,0.63,241,15.5,13.09,52.82,32.31,2.5,0,0,0,Control School,high income
1750000000000_135,0.12,2.89,90.04,0,0,28.2,2005,250000,6,0.63,16,20.2,32.04,19.56,30.77,2.1,0,0,0,Control School,high income
7620000000000_136,0.12,0,99.19,0,0.81,29.67,2007,129760,88,0.63,164,19.81,76.81,21.42,33.06,16.75,0,0,0,Control School,high income
28700000000000_141,0.15,0,100,0,0,29.33,2017,133214,85.5,0.63,241,7.11,37.4,40.35,38.37,33.5,0,0,0,Control School,high income
43700000000000_154,0.14,0,100,0,0,28.13,1992,138295,6,0.63,220,21.95,29.98,52.82,38.78,18.9,0,0,0,Control School,high income
43700000000000_155,0.14,0,100,0,0,27.92,1930,177639,37,0.63,241,9.94,28.01,52.82,28.94,11.6,0,0,0,Control School,high income
43700000000000_156,0.16,0,100,0,0,27.39,2012,235893,25.5,0.63,129,13.79,35.85,52.82,43.97,22.05,0,0,0,Control School,high income
