"","Order","UID","School_ID","CDS_Code","char_prem_id","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Percent_LandCoverTotal","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","StudentEnrollment_mean","Staff","Student_Staff_Ratio","Diversity_Index","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","EEM","EE_Retrofit_Type","retrofit","ndvi_median_binary","retrofit_and_ndvi","Average_NDVI_median"
"1",38,"10600000000000_39","10600000000000_39",1.062257e+13,1780265238,0.17,"0","100","0","0","100",29.52,"1957",117370,NA,NA,NA,NA,NA,NA,71.87,29.25,56.21,17.1,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"2",182,"10600000000000_193","10600000000000_193",1.062257e+13,4731879290,0.17,NA,NA,NA,NA,NA,29.52,"1957",117370,NA,NA,NA,NA,NA,NA,71.87,29.25,56.21,17.1,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"3",222,"10600000000000_238","10600000000000_238",1.06217e+13,6751786236,0.18,"0","100","0","0","100",28.17,"1962",78611,50,NA,12.95,NA,NA,NA,54.54,29.25,37.56,22.9,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"4",230,"10600000000000_246","10600000000000_246",1.06224e+13,6908146928,0.14,"0","100","0","0","100",29.76,"1952",81208,68.5,431.5,15.21,28.37,NA,267,71.87,29.25,56.21,NA,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,0,0,NA
"5",239,"10600000000000_256","10600000000000_256",1.062117e+13,7100767628,0.11,"0","98.73","0","1.27","100",29.96,"1967",49107,NA,890,NA,NA,NA,32.5,62.75,29.25,39.36,17.5,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,0,0,NA
"6",249,"10600000000000_266","10600000000000_266",1.062372e+13,7152425275,0.14,"0","13.34","76.33","10.33","100",28.09,NA,65556,NA,NA,NA,NA,NA,NA,24.06,29.25,32.39,26.6,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,0,0,NA
"7",250,"10600000000000_267","10600000000000_267",1.062372e+13,7152426318,0.14,NA,NA,NA,NA,NA,28.09,NA,65556,NA,NA,NA,NA,NA,NA,24.06,29.25,32.39,26.6,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,0,0,NA
"8",257,"10600000000000_274","10600000000000_274",1.062539e+13,7313951402,0.25,"0","100","0","0","100",27.55,"1953",50833,NA,371.5,NA,NA,NA,28,139.35,29.25,58.31,34.9,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,1,1,NA
"9",269,"10600000000000_286","10600000000000_286",1.062356e+13,7668177497,0.17,"0","100","0","0","100",33.28,NA,71058,NA,NA,NA,NA,NA,NA,87.57,29.25,64.73,22.65,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",0,0,0,NA
"10",287,"10600000000000_304","10600000000000_304",1.06224e+13,7898968205,0.16,"0","100","0","0","100",29.72,"2007",66875,66,674.5,16.99,39.71,NA,267,71.87,29.25,56.21,NA,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1,0,0,NA
