School_ID,Year_built,NDVI_median,Land_Surface_Temp,Diversity_Index,retrofit,Chronic_Absenteeism,Median_income_BG,income,School_Type
19645000000000_533,1852,0.16,39.92,0.57,1,18,46667,low income,Prop. 39
19645000000000_532,1852,0.17,40.08,0.47,1,18,46667,low income,Prop. 39
19645000000000_535,1852,0.17,40.11,0.56,1,18,46667,low income,Prop. 39
26736700000000_1682,1858,0.31,30.97,0.63,0,31.1,120586,high income,Control
19646300000000_3844,1858,0.22,39.11,0.57,0,36.4,75458,medium income,Control
54722600000000_909,1858,0.37,35.59,0.63,0,27.15,81128,medium income,Control
54722600000000_908,1858,0.51,34.47,0.57,0,27.15,62976,medium income,Control
16700000000000_147,1858,0.1,34.95,0.47,1,25.95,59024,medium income,Prop. 39
19647330000000_663,1859,0.16,41.09,0.47,0,28.75,52031,low income,Control
19649310000000_666,1859,0.21,40.36,0.47,0,6.5,37557,low income,Control
19648700000000_1777,1859,0.22,38.48,0.47,0,38.2,60987,medium income,Control
19649310000000_657,1859,0.23,39.48,0.58,0,6.5,79214,medium income,Control
19647700000000_1864,1859,0.26,38.36,0.61,0,25.05,100450,medium income,Control
54722600000000_95,1865,0.31,38.49,0.63,0,29.15,87292,medium income,Control
36678700000000_1888,1865,0.57,29.06,0.61,0,28.8,69821,medium income,Control
36676800000000_3062,1865,0.32,36.97,0.63,1,11.05,90750,medium income,Prop. 39
19648100000000_198,1867,0.19,40.28,0.63,0,5,44313,low income,Control
19648100000000_199,1867,0.19,39.83,0.63,0,10.6,42471,low income,Control
54722600000000_2815,1867,0.33,38.26,0.63,0,32.6,56620,low income,Control
19648100000000_197,1867,0.19,40.28,0.61,0,5,63500,medium income,Control
30739200000000_1416,1867,0.24,34.72,0.63,1,11.7,146250,high income,Prop. 39
19646600000000_1568,1867,0.34,36.66,0.63,1,3.35,93534,medium income,Prop. 39
19648100000000_3680,1877,0.23,39.92,0.61,0,14.35,44630,low income,Control
56737600000000_558,1877,0.3,38.42,0.57,0,23.15,73264,medium income,Control
56737600000000_557,1877,0.31,38.48,0.63,0,23.15,73264,medium income,Control
19648700000000_6,1878,0.21,38.17,0.47,0,30.8,51591,low income,Control
19648700000000_5,1878,0.22,37.98,0.47,0,30.8,51591,low income,Control
19647330000000_737,1878,0.15,40.45,0.47,0,28.75,64861,medium income,Control
30666200000000_2702,1878,0.28,38.66,0.56,0,22.05,79412,medium income,Control
19646600000000_1572,1878,0.45,34.72,0.63,1,4.3,240139,high income,Prop. 39
19643300000000_1055,1878,0.32,37.05,0.63,1,25.95,104362,medium income,Prop. 39
19646800000000_322,1880,0.41,36.4,0.63,0,9.7,184853,high income,Control
19734600000000_3011,1880,0.13,40.4,0.47,0,52,48594,low income,Control
42767900000000_1579,1880,0.19,35.89,0.47,0,79.95,41667,low income,Control
30666200000000_2944,1880,0.22,39.61,0.47,0,80.1,73750,medium income,Control
26736700000000_270,1880,0.29,32.34,0.63,0,31.1,66736,medium income,Control
19650000000000_271,1880,0.3,39.91,0.57,0,7.7,91625,medium income,Control
26736700000000_269,1880,0.34,32.16,0.56,0,31.1,66736,medium income,Control
33752000000000_2096,1880,0.27,40.47,0.63,1,23.3,62976,medium income,Prop. 39
33670900000000_3342,1884,0.23,38.2,0.63,0,25.7,113056,high income,Control
33751800000000_919,1884,0.15,40.91,0.56,0,41.65,33958,low income,Control
33751800000000_920,1884,0.15,40.91,0.47,0,41.65,33958,low income,Control
19645200000000_3043,1884,0.23,39.85,0.63,0,8.75,50057,low income,Control
33751800000000_921,1884,0.24,41.27,0.57,0,41.65,41759,low income,Control
33751800000000_922,1884,0.24,41.39,0.57,0,41.65,41759,low income,Control
33751800000000_923,1884,0.24,41.27,0.63,0,41.65,41759,low income,Control
19645500000000_713,1884,0.19,40.42,0.63,0,13.35,73214,medium income,Control
30665200000000_3277,1884,0.22,37.98,0.61,0,14.1,89006,medium income,Control
19651000000000_2899,1884,0.26,39.66,0.63,0,24.3,105357,medium income,Control
43700000000000_303,1887,0.15,28.33,0.63,0,5.7,211860,high income,Control
19753300000000_2722,1887,0.25,33.64,0.63,0,3.65,227857,high income,Control
19648700000000_2897,1887,0.42,33.65,0.61,0,5.85,222738,high income,Control
36678800000000_211,1887,0.28,38.82,0.63,0,23.6,41827,low income,Control
19644500000000_3664,1887,0.25,38.51,0.63,0,36.1,76250,medium income,Control
36678400000000_581,1888,0.29,37.72,0.63,0,13.3,86167,medium income,Control
19647300000000_1322,1888,0.15,38.28,0.56,1,42.95,95000,medium income,Prop. 39
30736500000000_3298,1891,0.28,35.41,0.63,0,5.9,179125,high income,Control
33751800000000_924,1891,0.26,40.78,0.61,0,21.7,87554,medium income,Control
19757100000000_3092,1891,0.27,38.84,0.63,0,16.35,91406,medium income,Control
30665100000000_2721,1891,0.28,38.2,0.56,0,14.3,63750,medium income,Control
30736500000000_3299,1891,0.29,35.66,0.63,0,5.9,102054,medium income,Control
30736500000000_3300,1891,0.29,34.73,0.58,0,5.9,102054,medium income,Control
19734500000000_629,1891,0.26,38.89,0.63,1,18.65,64539,medium income,Prop. 39
30666700000000_2025,1891,0.27,37.49,0.61,1,20.6,64948,medium income,Prop. 39
54719000000000_54,1892,0.26,39.16,0.63,0,23.85,47868,low income,Control
54719000000000_53,1892,0.28,39.02,0.63,0,23.85,88875,medium income,Control
42767900000000_3025,1893,0.5,31.9,0.63,0,13.95,124176,high income,Control
15600000000000_436,1893,0.07,33.3,0.63,0,26.65,30125,low income,Control
36678800000000_361,1893,0.25,40.85,0.63,0,48.35,36583,low income,Control
19744300000000_2485,1893,0.12,37.58,0.47,0,18,93750,medium income,Control
30665140000000_707,1893,0.14,40.78,0.57,0,12.85,76563,medium income,Control
30665140000000_708,1893,0.14,40.78,0.56,0,12.85,76563,medium income,Control
33103300000000_672,1893,0.22,39.09,0.56,0,49.2,86786,medium income,Control
30666200000000_3357,1893,0.22,39.51,0.47,0,26,73750,medium income,Control
19742000000000_2345,1893,0.23,37.97,0.57,0,3.3,106250,medium income,Control
19643800000000_3786,1893,0.27,38.14,0.63,0,16.8,95556,medium income,Control
30665140000000_650,1893,0.29,39.11,0.56,0,12.85,86453,medium income,Control
30665140000000_667,1893,0.35,35.91,0.56,0,12.85,108500,medium income,Control
30665140000000_698,1893,0.35,35.78,0.57,0,12.85,108500,medium income,Control
19646600000000_1569,1893,0.45,34.72,0.63,1,4.3,240139,high income,Prop. 39
