Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
1,27800000000000_1,27800000000000_1,2.77547E+13,308398136,0.13,0,99.64,0,0.36,100,26.74,1997,73614,NA,NA,59.75,NA,NA,NA,49.82,39.52,45.09,NA,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,0.242049647
2,27800000000000_2,27800000000000_2,2.77547E+13,318817931,0.13,0,100,0,0,100,26.83,NA,69531,89.5,NA,13.25,NA,NA,NA,49.82,39.52,45.09,19,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
3,1610000000000_3,1610000000000_3,1.612e+12,377163508,0.16,0,35.48,0,64.52,100,31.64,1963,74788,NA,NA,NA,NA,NA,NA,30.08,19.56,36.19,13.8,Lighting- Retrofit Interior Lamps to LED,Lighting,0,0,0,NA
4,42700000000000_4,42700000000000_4,4.26934E+13,550033730,0.16,0,87.3,1.37,11.33,100,29.92,1938,78030,37,NA,26.01,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
5,42700000000000_5,42700000000000_5,4.269336e+13,550034773,0.14,0,73.28,3.88,22.84,100,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
6,42700000000000_6,42700000000000_6,4.269336e+13,550036859,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
7,42700000000000_7,42700000000000_7,4.26934E+13,550037902,0.14,0,85.53,1.89,12.58,100,29.89,1938,78030,37,NA,26.01,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
8,42700000000000_8,42700000000000_8,4.269336e+13,633025858,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
9,42700000000000_9,42700000000000_9,4.269336e+13,633071750,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,Lighting- Interior Fixture Retrofit,Lighting,1,0,0,NA
10,52700000000000_10,52700000000000_10,5.271506e+13,742390430,0.18,0,46.37,0,53.63,100,28.71,1997,NA,NA,NA,NA,NA,NA,NA,69.27,60.29,43.68,32.45,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,1,0,0,NA
