School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type
27800000000000_1,0.13,0,99.64,0,0.36,26.74,1997,73614,80,59.75,42,49.82,39.52,45.09,3.8,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
27800000000000_2,0.13,0,100,0,0,26.83,2009,69531,89.5,13.25,14.5,49.82,39.52,45.09,19,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
1610000000000_3,0.16,0,35.48,0,64.52,31.64,1963,74788,66,13.76,241,30.08,19.56,36.19,13.8,0,0,0,Lighting- Retrofit Interior Lamps to LED,Lighting
42700000000000_4,0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,26.01,1523.5,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_5,0.14,0,73.28,3.88,22.84,29.83,1938,78030,86,47.25,13,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_6,0.14,0,100,0,0,29.83,1938,78030,83,10.9,14.5,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_7,0.14,0,85.53,1.89,12.58,29.89,1938,78030,37,26.01,464,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_8,0.14,0,98.66,0,2.03,29.83,1938,78030,88,7.51,464,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_9,0.14,0,96.83,0,2.47,29.83,1938,78030,26,14.12,14.5,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
52700000000000_10,0.18,0,46.37,0,53.63,28.71,1997,71065,84,20.18,1523.5,69.27,60.29,43.68,32.45,1,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
9620000000000_11,0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,40,17.37,13,18.58,18.13,20.24,18,1,0,0,,
31700000000000_12,0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,5.61,55,23.87,42.85,30.44,26.55,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
10600000000000_13,0.11,0,100,0,0,31.49,2007,23466,98.5,14.05,241,70.53,29.25,44.05,39.3,0,0,0,,
45700000000000_14,0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,82,13.75,13,27.09,54.48,15.92,46.75,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
15600000000000_15,0.11,0.48,99.52,0,0,33.15,2011,28379,93,17.38,1894.5,84.72,27.08,50.34,66.15,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope
43700000000000_16,0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,16,46.54,52.82,27.14,14.1,0,0,0,HVAC- VAV System,HVAC
7620000000000_17,0.2,0,77.7,2.86,19.44,27.39,1940,180781,25,29.7,161,21.04,21.42,32,9.65,0,0,0,,
29700000000000_18,0.25,0.96,19.9,44.9,34.24,25.2,2004,63958,60,4.55,205,54.74,41.19,29.64,15,1,1,1,Lighting- Interior Fixture Retrofit,Lighting
29700000000000_19,0.23,0.4,53.07,20.51,26.02,26.23,2015,139143,44.5,5.11,464,39.14,34.92,33.02,22.15,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
29700000000000_20,0.23,0,92.41,3.11,3.35,26.23,2006,139143,44.5,5.11,241,53.01,27.08,29.21,15.9,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
51700000000000_22,0.18,6.54,91.92,0,1.54,28.26,2005,81429,74,48.98,645,27.29,59.46,44.3,16.7,0,0,0,,
31800000000000_23,0.14,0,99.92,0,0.08,28.83,1952,78036,30.5,13.28,929,47.46,42.85,38.96,11.55,0,0,0,,
58100000000000_24,0.12,5.83,94.17,0,0,28.35,2007,129250,94,15.26,91,50.32,65.28,47.52,52.6,0,0,0,,
27700000000000_25,0.12,0,99.19,0,0.81,25.9,2000,60875,23,8.44,929,61.88,39.52,37.44,46.4,0,0,0,Lighting- CFL Lamp Retrofit,Lighting
16700000000000_26,0.1,0,73.91,0,26.09,34.95,1996,59024,61,42.79,1523.5,45.07,42.51,20.5,25.95,1,0,0,Lighting- Interior Fixture Retrofit,Lighting
31800000000000_27,0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,49.86,241,25.19,42.85,19.65,13.95,0,0,0,,
42700000000000_28,0.17,0,41.78,0,58.22,28.67,1961,67130,89,13.38,241,41.05,51.99,33.96,20.65,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
42700000000000_29,0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,32.13,16,44.75,51.99,31.91,22.2,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
31800000000000_30,0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,12.9,183,25.53,42.85,11.84,7.05,0,0,0,,
1750000000000_31,0.12,0,94.99,0,5.01,28.2,2005,250000,58,20.2,1894.5,32.04,19.56,30.77,2.1,0,0,0,,
31800000000000_32,0.14,0.26,80.99,11.33,7.42,28.64,1952,78036,66,35.71,221,47.46,42.85,38.96,13.1,0,0,0,,
1610000000000_33,0.14,0,97.37,0,2.63,29.86,1960,157500,10,17.42,13,31.1,19.56,24.21,7.35,1,0,0,,
54700000000000_34,0.17,0,88.8,0,11.2,29.39,1992,52688,95,28.38,14.5,67.1,61.96,47.26,19.45,1,0,0,Lighting Controls,Lighting
57700000000000_35,0.19,0,100,0,0,28.11,1912,78750,59.5,16.75,42.5,51.44,64.45,45.88,17.55,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting
1750000000000_36,0.15,0,97.64,0,2.36,28.17,2007,246548,3,14.04,1894.5,32.04,19.56,30.77,4.65,0,0,0,,
7620000000000_37,0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,14,24.29,1894.5,16.2,21.42,36.96,6.25,1,0,0,,
39700000000000_38,0.14,0,100,0,0,30.77,1921,30978,88.5,13.41,15,98.75,49.49,58.55,41.4,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
10600000000000_39,0.17,0,100,0,0,29.52,1957,117370,88,13.39,15,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives",Pumps_Motors_Drives
43700000000000_40,0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,142.5,9.84,52.82,41.31,2.15,0,0,0,HVAC- VAV System,HVAC
27800000000000_41,0.12,0,100,0,0,25.68,2019,54607,80,2,1523.5,49.82,39.52,45.09,30.9,0,0,0,Lighting- Interior Fixture Retrofit,Lighting
