Scenario_1_Type,Scenario_2_Type,Scenario_3_Type,Chronic_Absenteeism,Utility
Energy Efficiency Retrofits,NA,NA,22.75,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,19,Pacfic Gas and Electric Company
NA,NA,NA,13.8,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,9.25,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,9.25,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,32.45,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,18,Pacfic Gas and Electric Company
NA,NA,NA,18.55,Pacfic Gas and Electric Company
NA,NA,NA,39.3,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,46.75,Pacfic Gas and Electric Company
NA,NA,NA,66.15,Pacfic Gas and Electric Company
NA,NA,NA,14.1,Pacfic Gas and Electric Company
NA,NA,NA,9.65,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,Nature Exposure,Energy Efficiency Retrofits and Nature Exposure,15,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,23.35,Pacfic Gas and Electric Company
NA,NA,NA,16.7,Pacfic Gas and Electric Company
NA,NA,NA,11.55,Pacfic Gas and Electric Company
NA,NA,NA,52.6,Pacfic Gas and Electric Company
NA,NA,NA,19.05,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,25.95,Pacfic Gas and Electric Company
NA,NA,NA,13.95,Pacfic Gas and Electric Company
NA,NA,NA,20.65,Pacfic Gas and Electric Company
NA,NA,NA,22.2,Pacfic Gas and Electric Company
NA,NA,NA,7.05,Pacfic Gas and Electric Company
NA,NA,NA,2.1,Pacfic Gas and Electric Company
NA,NA,NA,13.1,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,7.35,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,19.45,Pacfic Gas and Electric Company
NA,NA,NA,17.55,Pacfic Gas and Electric Company
NA,NA,NA,4.65,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,6.25,Pacfic Gas and Electric Company
NA,NA,NA,41.4,Pacfic Gas and Electric Company
NA,NA,NA,17.1,Pacfic Gas and Electric Company
NA,NA,NA,2.15,Pacfic Gas and Electric Company
NA,NA,NA,29.7,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,26.05,Pacfic Gas and Electric Company
NA,NA,NA,37.65,Pacfic Gas and Electric Company
NA,NA,NA,18.7,Pacfic Gas and Electric Company
NA,NA,NA,39.35,Pacfic Gas and Electric Company
NA,NA,NA,18.8,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,26.1,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,34.4,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,22.45,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,19.5,Pacfic Gas and Electric Company
NA,NA,NA,24.65,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,12.1,Pacfic Gas and Electric Company
NA,NA,NA,11.6,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,13.45,Pacfic Gas and Electric Company
Energy Efficiency Retrofits,NA,NA,16.95,Pacfic Gas and Electric Company
NA,NA,NA,27.7,Pacfic Gas and Electric Company
NA,NA,NA,4.05,Pacfic Gas and Electric Company
NA,NA,NA,3.3,Pacfic Gas and Electric Company
NA,NA,NA,13.85,Pacfic Gas and Electric Company
NA,NA,NA,6.05,Pacfic Gas and Electric Company
NA,NA,NA,1.55,Pacfic Gas and Electric Company
NA,NA,NA,6.45,Pacfic Gas and Electric Company
NA,NA,NA,8.1,Pacfic Gas and Electric Company
NA,NA,NA,17.45,Pacfic Gas and Electric Company
