Order,School_ID,NDVI_median,NDVI_Under_Over_Avg,Land_Surface_Temp
172,1610000000000_183,0.04,Below Average,28.52
92,1610000000000_102,0.05,Below Average,27.4
210,41700000000000_225,0.06,Below Average,26.9
400,15600000000000_425,0.06,Below Average,33.83
493,19648100000000_3557,0.06,Below Average,42.78
102,1610000000000_112,0.07,Below Average,28.52
152,39700000000000_163,0.07,Below Average,30.77
248,1610000000000_265,0.07,Below Average,28.79
410,15600000000000_436,0.07,Below Average,33.3
1547,19647300000000_494,0.07,Below Average,23.82
103,1610000000000_113,0.08,Below Average,28.84
118,43700000000000_128,0.08,Below Average,29.39
157,40700000000000_168,0.08,Below Average,23.34
206,41700000000000_219,0.08,Below Average,28.14
213,41700000000000_228,0.08,Below Average,25.41
494,36675900000000_2121,0.08,Below Average,43.81
495,14632700000000_2180,0.08,Below Average,47.55
496,19642100000000_2266,0.08,Below Average,40.1
497,36738600000000_2310,0.08,Below Average,43.49
498,19648700000000_3700,0.08,Below Average,39.21
500,30666000000000_3735,0.08,Below Average,34.3
1548,19647300000000_149,0.08,Below Average,41.89
1549,19647300000000_2201,0.08,Below Average,38.58
62,43700000000000_69,0.09,Below Average,29.67
104,1610000000000_114,0.09,Below Average,27.99
106,1610000000000_116,0.09,Below Average,28.74
108,1610000000000_118,0.09,Below Average,28.77
139,16700000000000_149,0.09,Below Average,35.05
142,43700000000000_153,0.09,Below Average,29.33
150,43700000000000_161,0.09,Below Average,29.17
212,41700000000000_227,0.09,Below Average,26.68
255,16700000000000_272,0.09,Below Average,35.7
285,1610000000000_302,0.09,Below Average,28.01
501,36678800000000_608,0.09,Below Average,40.35
502,56724600000000_1301,0.09,Below Average,26.3
503,30666500000000_1939,0.09,Below Average,41.15
504,36678300000000_2010,0.09,Below Average,42.94
505,36676100000000_2018,0.09,Below Average,42.67
507,36678900000000_2131,0.09,Below Average,44.91
508,14632700000000_2141,0.09,Below Average,42.78
520,36678800000000_2687,0.09,Below Average,41.54
521,36738900000000_3231,0.09,Below Average,42.16
522,36679200000000_3712,0.09,Below Average,41.42
1550,30666700000000_408,0.09,Below Average,40.71
1552,19647300000000_1469,0.09,Below Average,36.95
25,16700000000000_26,0.1,Below Average,34.95
63,43700000000000_70,0.1,Below Average,29.42
67,43700000000000_75,0.1,Below Average,28.58
71,1610000000000_79,0.1,Below Average,28.24
105,1610000000000_115,0.1,Below Average,27.28
175,1610000000000_186,0.1,Below Average,28.32
176,1610000000000_187,0.1,Below Average,28.29
178,1610000000000_189,0.1,Below Average,27.36
227,54700000000000_243,0.1,Below Average,37.29
247,41700000000000_264,0.1,Below Average,27.16
275,39100000000000_292,0.1,Below Average,31.35
280,1610000000000_297,0.1,Below Average,26.77
281,1610000000000_298,0.1,Below Average,28.17
366,43700000000000_388,0.1,Below Average,28.93
370,44700000000000_393,0.1,Below Average,26.95
382,42700000000000_406,0.1,Below Average,29.22
388,1610000000000_412,0.1,Below Average,30.73
