School_ID,Year_built
19734400000000_1907,1852
19645000000000_533,1852
19645000000000_532,1852
19645000000000_535,1852
19647900000000_2016,1852
16639200000000_2011,1852
19734600000000_1846,1858
54722600000000_909,1858
54722600000000_908,1858
19643300000000_1614,1858
54719900000000_1732,1858
19648700000000_1247,1859
19649310000000_666,1859
19649310000000_657,1859
54721080000000_2245,1859
36679600000000_2431,1865
54722600000000_95,1865
19648100000000_197,1867
19648100000000_198,1867
19648100000000_199,1867
36750700000000_3547,1867
33671240000000_695,1877
30665200000000_840,1877
30665200000000_3045,1877
19647300000000_3764,1877
56737600000000_558,1877
56737600000000_557,1877
19650000000000_449,1877
39700000000000_512,1878
19645010000000_668,1878
19648700000000_6,1878
19648700000000_5,1878
19743300000000_2455,1878
19647200000000_2728,1878
19734600000000_2861,1878
54720400000000_2822,1878
36103600000000_3082,1878
19645920000000_674,1880
19648400000000_2588,1880
26736700000000_270,1880
19650000000000_271,1880
26736700000000_269,1880
19646800000000_322,1880
33751800000000_919,1884
33751800000000_920,1884
19650000000000_2964,1884
33671200000000_2080,1884
33751800000000_921,1884
33751800000000_922,1884
33751800000000_923,1884
36677100000000_2636,1884
30666700000000_1790,1884
19647300000000_1657,1884
19651400000000_3717,1884
33751900000000_3556,1884
10700000000000_342,1887
36678800000000_211,1887
19646600000000_2732,1887
36679600000000_3859,1888
36678400000000_581,1888
54722600000000_3796,1888
19734400000000_546,1891
19734400000000_1759,1891
33751800000000_924,1891
30736500000000_3298,1891
19650500000000_1692,1891
36678800000000_2380,1891
30736500000000_3299,1891
30736500000000_3300,1891
33671200000000_2063,1892
54719000000000_54,1892
54719000000000_53,1892
19734500000000_2434,1892
19648300000000_2595,1892
36678500000000_1106,1892
44700000000000_353,1893
15600000000000_436,1893
30665140000000_707,1893
30665140000000_708,1893
19647330000000_663,1893
36679340000000_709,1893
36103600000000_3081,1893
19642870000000_680,1893
19647330000000_705,1893
33103300000000_672,1893
19647200000000_3301,1893
19642900000000_447,1893
19752900000000_3029,1893
56726520000000_679,1893
19647200000000_1643,1893
30666200000000_2744,1893
19112000000000_2481,1893
30665140000000_650,1893
30666200000000_342,1893
19644400000000_3262,1893
54720300000000_2747,1893
19643300000000_1435,1893
30665140000000_667,1893
30665140000000_698,1893
56725200000000_3080,1893
19647300000000_1006,1895
19646300000000_221,1896
19734400000000_544,1896
19734400000000_545,1896
33670300000000_567,1896
15636800000000_327,1897
36676800000000_462,1897
19734400000000_1033,1897
19757100000000_3091,1897
33670800000000_576,1897
19644400000000_578,1897
19644400000000_579,1897
39700000000000_247,1901
6620000000000_421,1901
19645200000000_898,1901
30665220000000_701,1901
19644500000000_818,1901
19644500000000_819,1901
19645200000000_890,1901
19643300000000_1421,1901
19647700000000_1450,1901
19644500000000_820,1901
30666100000000_3606,1901
19643000000000_2578,1901
19648400000000_1593,1901
36678700000000_1631,1901
19734500000000_3271,1901
19645200000000_891,1901
19645200000000_892,1901
19645200000000_893,1901
19645200000000_894,1901
19645200000000_895,1901
19645200000000_896,1901
19645200000000_897,1901
19643500000000_1697,1903
19643300000000_255,1903
19645000000000_2282,1903
33751900000000_3394,1903
19648800000000_80,1903
19643300000000_256,1903
19646400000000_97,1905
41700000000000_225,1906
10600000000000_285,1906
44700000000000_391,1906
10600000000000_484,1906
30665480000000_671,1906
19768700000000_1509,1906
19645900000000_292,1907
33670300000000_565,1907
19646300000000_401,1907
54719900000000_2257,1907
19647300000000_2594,1907
33670300000000_566,1907
54767900000000_3831,1907
19645920000000_670,1909
19647700000000_1863,1909
54722300000000_1743,1909
16101700000000_2199,1909
19651100000000_2496,1909
42767900000000_481,1909
42767900000000_482,1909
54720400000000_2820,1909
42767900000000_3025,1909
33751800000000_925,1911
19646300000000_2200,1911
19646300000000_2231,1911
19647300000000_58,1911
56724600000000_1518,1911
36676500000000_426,1911
30665600000000_1628,1911
57700000000000_35,1912
36750500000000_78,1912
36750500000000_79,1912
36678400000000_2277,1912
33670800000000_3740,1912
19651020000000_790,1912
33672100000000_2803,1912
33669900000000_195,1912
19642500000000_98,1912
19642500000000_99,1912
36679600000000_338,1912
36679000000000_2564,1912
19643300000000_1426,1912
36750500000000_1191,1913
19650900000000_569,1913
57700000000000_185,1914
19648700000000_2650,1914
36676100000000_180,1915
36738900000000_3850,1915
