"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"1",1,"27800000000000_1",0.13,0,99.64,0,0.36,26.74,1997,73614,70,59.75,42.5,49.82,39.52,45.09,22.75,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"308398136","27754730000000"
"2",2,"27800000000000_2",0.13,0,100,0,0,26.83,2005,69531,89.5,13.25,14.5,49.82,39.52,45.09,19,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"318817931","27754736026090"
"3",3,"1610000000000_3",0.16,0,35.48,0,64.52,31.64,1963,74788,19,5.14,241,30.08,19.56,36.19,13.8,0,0,0,"Lighting- Retrofit Interior Lamps to LED","Lighting",1.612e+12,"377163508","1.612e+12"
"4",4,"42700000000000_4",0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,26.01,1523.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26934e+13,"550033730","42693366046072"
"5",5,"42700000000000_5",0.14,0,73.28,3.88,22.84,29.83,1938,78030,49,35.28,205,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"550034773","4.269336e+13"
"6",6,"42700000000000_6",0.14,0,89.25,0,0,29.83,1938,78030,91,14.94,14.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"550036859","4.269336e+13"
"7",7,"42700000000000_7",0.14,0,85.53,1.89,12.58,29.89,1938,78030,37,26.01,32.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26934e+13,"550037902","42693366046072"
"8",8,"42700000000000_8",0.14,18.23,58.42,0,14.79,29.83,1938,78030,60,32.5,32.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"633025858","4.269336e+13"
"9",9,"42700000000000_9",0.14,0,40.06,0,12.55,29.83,1938,78030,76,9.94,14.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"633071750","4.269336e+13"
"10",10,"52700000000000_10",0.18,0,46.37,0,53.63,28.71,1997,44479,84,14.29,1523.5,69.27,60.29,43.68,32.45,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.271506e+13,"742390430","5.271506e+13"
"11",11,"9620000000000_11",0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,22,17.37,205,18.58,18.13,20.24,18,1,0,0,NA,NA,9.61978e+12,"775503504","9619780101519"
"12",12,"31700000000000_12",0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,5.61,38.5,23.87,42.85,30.44,18.55,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",3.16685e+13,"1026095425","31668520109827"
"13",13,"10600000000000_13",0.11,0,100,0,0,31.49,2007,23466,98.5,14.05,145,70.53,29.25,44.05,39.3,0,0,0,NA,NA,1.06217e+13,"1032218427","10621660113829"
"14",14,"45700000000000_14",0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,82,12.76,205,27.09,54.48,15.92,46.75,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.569872e+13,"1049751949","4.569872e+13"
"15",15,"15600000000000_15",0.11,0.48,99.52,0,0,33.15,2011,28379,93,17.38,1894.5,84.72,27.08,50.34,66.15,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"1070908192","15635290125062"
"16",16,"43700000000000_16",0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,16,46.54,52.82,27.14,14.1,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"1074845258","43694356095988"
"17",17,"7620000000000_17",0.2,0,77.7,2.86,19.44,27.39,1940,180781,58,29.7,91,21.04,21.42,32,9.65,0,0,0,NA,NA,7.6163e+12,"1095638956","7616300730283"
"18",18,"29700000000000_18",0.25,0.96,19.9,44.9,34.24,25.2,2004,63958,95,20.15,205,54.74,41.19,29.64,15,1,1,1,"Lighting- Interior Fixture Retrofit","Lighting",2.966316e+13,"1104722251","2.966316e+13"
"19",19,"29700000000000_19",0.23,0.4,53.07,20.51,26.02,26.23,2017,139143,44.5,5.11,13,22.31,34.92,30.01,23.35,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.96636e+13,"1112988581","29663570124834"
"20",20,"29700000000000_20",0.23,1.71,56.64,0,0.16,26.23,2010,139143,44.5,5.11,241,23.8,34.92,37.43,18.9,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.96636e+13,"1112989624","29663570124834"
"21",21,"51700000000000_22",0.18,6.54,91.92,0,1.54,28.26,2005,81429,100,20.38,653.5,27.29,59.46,44.3,16.7,0,0,0,NA,NA,5.171373e+13,"1130388288","5.171373e+13"
"22",22,"31800000000000_23",0.14,0,99.92,0,0.08,28.83,1952,78036,30.5,13.28,199,47.46,42.85,38.96,11.55,0,0,0,NA,NA,3.17509e+13,"1135117736","31750856031215"
"23",23,"58100000000000_24",0.12,5.83,94.17,0,0,28.35,2007,89485,62,5.82,91,50.32,65.28,47.52,52.6,0,0,0,NA,NA,5.810587e+13,"1176016474","5.810587e+13"
"24",24,"27700000000000_25",0.12,0,99.19,0,0.81,25.9,2000,60875,95,17.74,241,61.88,39.52,37.44,19.05,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",NA,"1.18e+09","NA"
"25",25,"16700000000000_26",0.1,0,73.91,0,26.09,34.95,1992,59024,71,27.24,1523.5,45.07,42.51,20.5,25.95,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.673932e+13,"1211578055","1.673932e+13"
"26",26,"31800000000000_27",0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,49.86,1894.5,25.19,42.85,19.65,13.95,0,0,0,NA,NA,3.17509e+13,"1293441923","31750853130150"
"27",27,"42700000000000_28",0.17,0,41.78,0,58.22,28.67,1961,67130,89,13.38,241,41.05,51.99,33.96,20.65,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26912e+13,"1316263193","42691206045975"
"28",28,"42700000000000_29",0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,32.13,98.5,44.75,51.99,31.91,22.2,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26923e+13,"1335294241","42692294230454"
"29",29,"31800000000000_30",0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,12.9,241,25.53,42.85,11.84,7.05,0,0,0,NA,NA,3.17509e+13,"1498082797","31750856118517"
"30",30,"1750000000000_31",0.12,0,94.99,0,5.01,28.2,2005,250000,6,20.2,85.5,32.04,19.56,30.77,2.1,0,0,0,NA,NA,1.75093e+12,"1514270794","1750930125930"
"31",31,"31800000000000_32",0.14,0.26,80.99,11.33,7.42,28.64,1952,78036,65,14.58,221,47.46,42.85,38.96,13.1,0,0,0,NA,NA,3.175085e+13,"1518884839","3.175085e+13"
"32",32,"1610000000000_33",0.14,0,97.37,0,2.63,29.86,1960,157500,80,17.42,205,31.1,19.56,24.21,7.35,1,0,0,NA,NA,1.61201e+12,"1553860659","1612006001341"
"33",33,"54700000000000_34",0.17,0,88.8,0,11.2,29.39,1953,52688,95,28.38,205,57.95,61.96,55.28,19.45,1,0,0,"Lighting Controls","Lighting",5.47186e+13,"1631302398","54718606053938"
"34",34,"57700000000000_35",0.19,0,100,0,0,28.11,1912,78750,59.5,16.75,42.5,51.44,64.45,45.88,17.55,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"1658104501","57727106071278"
"35",35,"1750000000000_36",0.15,0,97.64,0,2.36,28.17,2007,246548,10,14.04,1894.5,32.04,19.56,30.77,4.65,0,0,0,NA,NA,1.75093e+12,"1701841926","1750930114579"
"36",36,"7620000000000_37",0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,6,24.29,205,16.2,21.42,36.96,6.25,1,0,0,NA,NA,7.6163e+12,"1744410309","7616300731125"
"37",37,"39700000000000_38",0.14,0,100,0,0,30.77,1921,30978,88.5,13.41,15,98.75,49.49,58.55,41.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"1772718074","39686766042758"
"38",38,"10600000000000_39",0.17,0,100,0,0,29.52,1957,117370,66,18.35,645,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062257e+13,"1780265238","1.062257e+13"
"39",39,"43700000000000_40",0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,161,9.84,52.82,41.31,2.15,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"1814433759","43694196046890"
"40",40,"27800000000000_41",0.12,0,100,0,0,25.68,2019,54607,98,9.68,83,49.82,39.52,45.09,29.7,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"1887237777","27754732730067"
"41",41,"40800000000000_45",0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887279497","40754576101570"
"42",42,"40800000000000_46",0.13,0,100,0,0,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887280540","40754576101570"
"43",43,"40800000000000_47",0.13,0,100,0,0,31.54,2003,87344,59,14.63,13,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887283669","40754576101570"
"44",44,"40800000000000_48",0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,278.5,46.01,50.32,41.76,37.65,0,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887288884","40754576043137"
"45",45,"40700000000000_50",0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,13.73,164,44.99,50.32,34.66,18.7,0,0,0,NA,NA,4.06876e+13,"1897582476","40687596109342"
"46",46,"15600000000000_51",0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56358e+13,"2022739961","15635786009989"
"47",47,"10600000000000_53",0.14,0,100,0,0,29.83,1996,91695,40,12.81,1894.5,37.05,29.25,35.98,18.8,0,0,0,NA,NA,1.06212e+13,"2043514885","10621176113583"
"48",48,"10600000000000_55",0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,1523.5,56.04,29.25,59.95,26.1,1,0,0,NA,NA,1.06212e+13,"2043520100","10621176005920"
"49",49,"10600000000000_56",0.12,0,100,0,0,29.91,1953,45774,83.5,15.63,13,50.56,29.25,50.33,34.4,1,0,0,NA,NA,1.06212e+13,"2043526358","10621176005904"
"50",50,"10600000000000_57",0.14,2.23,97.69,0,0.08,29.39,1969,111719,55.5,47.09,205,43.29,29.25,36.63,22.45,1,0,0,NA,NA,1.06212e+13,"2043532616","10621171031053"
"51",51,"10600000000000_58",0.12,0,100,0,0,29.9,1969,50438,63.5,21.83,32.5,103.13,29.25,49.65,19.5,1,0,0,NA,NA,1.06212e+13,"2043536788","10621176066617"
"52",52,"10600000000000_59",0.13,0,100,0,0,30.26,1969,50438,63.5,21.83,205,50.56,29.25,50.33,19.5,1,0,0,NA,NA,1.06212e+13,"2043537831","10621176066617"
