Order,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type,char_prem_id,Utility,LONGITUDE,LATITUDE,char_prem_id,CDSCode,CDSCode_2,NCES
1,27800000000000_1,0.13,0,99.64,0,0.36,26.74,1997,73614,80,59.75,42,49.82,39.52,45.09,3.8,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,308398136,Pacfic Gas and Electric Company,-121.4431,36.51152,308398136,27754730000000,27754730000000,60004607185
2,27800000000000_2,0.13,0,100,0,0,26.83,2009,69531,89.5,13.25,14.5,49.82,39.52,45.09,19,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,318817931,Pacfic Gas and Electric Company,-121.4404,36.50982,318817931,27754736026090,27754736026090,60004607184
3,1610000000000_3,0.16,0,35.48,0,64.52,31.64,1963,74788,66,13.76,241,30.08,19.56,36.19,13.8,0,0,0,Lighting- Retrofit Interior Lamps to LED,Lighting,377163508,Pacfic Gas and Electric Company,-121.751,37.70355,377163508,1.612e+12,1.612e+12,62211002627
4,42700000000000_4,0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,26.01,1523.5,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,550033730,Pacfic Gas and Electric Company,-120.1383,34.59851,550033730,42693366046072,42693366046072,63711006295
5,42700000000000_5,0.14,0,73.28,3.88,22.84,29.83,1938,78030,86,47.25,13,37.27,51.99,28.63,9.25,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,550034773,Pacfic Gas and Electric Company,-120.1421,34.59788,550034773,4.269336e+13,4.269336e+13,63711006295
10,52700000000000_10,0.18,0,46.37,0,53.63,28.71,1997,71065,84,20.18,1523.5,69.27,60.29,43.68,32.45,1,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,742390430,Pacfic Gas and Electric Company,-122.1723,39.93413,742390430,5.271506e+13,5.271506e+13,60981007460
11,9620000000000_11,0.18,0.64,21.48,2.23,75.66,28.11,2002,184936,40,17.37,13,18.58,18.13,20.24,18,1,0,0,,,775503504,Pacfic Gas and Electric Company,-121.021,38.69701,775503504,9619780101519,9619780101519,63231011168
12,31700000000000_12,0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,5.61,55,23.87,42.85,30.44,26.55,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,1026095425,Pacfic Gas and Electric Company,-121.1361,38.87205,1026095425,31668520109827,31668520109827,62712011001
13,10600000000000_13,0.11,0,100,0,0,31.49,2007,23466,98.5,14.05,241,70.53,29.25,44.05,39.3,0,0,0,,,1032218427,Pacfic Gas and Electric Company,-119.735,36.73783,1032218427,10621660113829,10621660113829,61455011998
14,45700000000000_14,0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,82,13.75,13,27.09,54.48,15.92,46.75,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,1049751949,Pacfic Gas and Electric Company,-122.2321,40.63933,1049751949,4.569872e+13,4.569872e+13,6.04e+10
15,15600000000000_15,0.11,0.48,99.52,0,0,33.15,2011,28379,93,17.38,1894.5,84.72,27.08,50.34,66.15,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope,1070908192,Pacfic Gas and Electric Company,-118.9614,35.3471,1070908192,15635290125062,15635290125062,61954013031
16,43700000000000_16,0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,16,46.54,52.82,27.14,14.1,0,0,0,HVAC- VAV System,HVAC,1074845258,Pacfic Gas and Electric Company,-121.8011,37.30659,1074845258,43694356095988,43694356095988,6.13e+10
17,7620000000000_17,0.2,0,77.7,2.86,19.44,27.39,1940,180781,25,29.7,161,21.04,21.42,32,9.65,0,0,0,,,1095638956,Pacfic Gas and Electric Company,-122.0968,37.90384,1095638956,7616300730283,7616300730283,60165000032
18,29700000000000_18,0.25,0.96,19.9,44.9,34.24,25.2,2004,63958,60,4.55,205,54.74,41.19,29.64,15,1,1,1,Lighting- Interior Fixture Retrofit,Lighting,1104722251,Pacfic Gas and Electric Company,-120.9783,39.14424,1104722251,2.966316e+13,2.966316e+13,60834013003
19,29700000000000_19,0.23,0.4,53.07,20.51,26.02,26.23,2015,139143,44.5,5.11,464,39.14,34.92,33.02,22.15,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,1112988581,Pacfic Gas and Electric Company,-121.0752,39.04767,1112988581,29663570124834,29663570124834,62688012922
21,51700000000000_22,0.18,6.54,91.92,0,1.54,28.26,2005,81429,74,48.98,645,27.29,59.46,44.3,16.7,0,0,0,,,1130388288,Pacfic Gas and Electric Company,-121.5271,38.91136,1130388288,5.171373e+13,5.171373e+13,62380011518
22,31800000000000_23,0.14,0,99.92,0,0.08,28.83,1952,78036,30.5,13.28,929,47.46,42.85,38.96,11.55,0,0,0,,,1135117736,Pacfic Gas and Electric Company,-121.2282,38.79103,1135117736,31750856031215,31750856031215,60001309070
23,58100000000000_24,0.12,5.83,94.17,0,0,28.35,2007,129250,94,15.26,91,50.32,65.28,47.52,52.6,0,0,0,,,1176016474,Pacfic Gas and Electric Company,-121.5851,39.14799,1176016474,5.810587e+13,5.810587e+13,69104811993
24,27700000000000_25,0.12,0,99.19,0,0.81,25.9,2000,60875,23,8.44,929,61.88,39.52,37.44,46.4,0,0,0,Lighting- CFL Lamp Retrofit,Lighting,1180000000,Pacfic Gas and Electric Company,-121.6526,36.72454,1.18e+09,NA,NA,63579006116
25,16700000000000_26,0.1,0,73.91,0,26.09,34.95,1996,59024,61,42.79,1523.5,45.07,42.51,20.5,25.95,1,0,0,Lighting- Interior Fixture Retrofit,Lighting,1211578055,Pacfic Gas and Electric Company,-120.125,36.0086,1211578055,1.673932e+13,1.673932e+13,63227007337
26,31800000000000_27,0.18,0.88,83.23,2.96,12.94,26.58,1992,142738,15,49.86,241,25.19,42.85,19.65,13.95,0,0,0,,,1293441923,Pacfic Gas and Electric Company,-121.2516,38.81462,1293441923,31750853130150,31750853130150,60001302405
27,42700000000000_28,0.17,0,41.78,0,58.22,28.67,1961,67130,89,13.38,241,41.05,51.99,33.96,20.65,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,1316263193,Pacfic Gas and Electric Company,-120.4828,34.89477,1316263193,42691206045975,42691206045975,60558009314
28,42700000000000_29,0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,32.13,16,44.75,51.99,31.91,22.2,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,1335294241,Pacfic Gas and Electric Company,-120.475,34.71108,1335294241,42692294230454,42692294230454,6.22e+10
29,31800000000000_30,0.2,1.74,79.41,0.73,18.12,26.92,2001,155804,8,12.9,183,25.53,42.85,11.84,7.05,0,0,0,,,1498082797,Pacfic Gas and Electric Company,-121.241,38.81441,1498082797,31750856118517,31750856118517,60001308763
30,1750000000000_31,0.12,0,94.99,0,5.01,28.2,2005,250000,58,20.2,1894.5,32.04,19.56,30.77,2.1,0,0,0,,,1514270794,Pacfic Gas and Electric Company,-121.8649,37.71492,1514270794,1750930125930,1750930125930,60001913169
31,31800000000000_32,0.14,0.26,80.99,11.33,7.42,28.64,1952,78036,66,35.71,221,47.46,42.85,38.96,13.1,0,0,0,,,1518884839,Pacfic Gas and Electric Company,-121.2216,38.79273,1518884839,3.175085e+13,3.175085e+13,60001309070
32,1610000000000_33,0.14,0,97.37,0,2.63,29.86,1960,157500,10,17.42,13,31.1,19.56,24.21,7.35,1,0,0,,,1553860659,Pacfic Gas and Electric Company,-121.7943,37.66331,1553860659,1612006001341,1612006001341,62211002636
33,54700000000000_34,0.17,0,88.8,0,11.2,29.39,1992,52688,95,28.38,14.5,67.1,61.96,47.26,19.45,1,0,0,Lighting Controls,Lighting,1631302398,Pacfic Gas and Electric Company,-119.2833,36.54993,1631302398,54718606053938,54718606053938,6.1e+10
34,57700000000000_35,0.19,0,100,0,0,28.11,1912,78750,59.5,16.75,42.5,51.44,64.45,45.88,17.55,0,0,0,Lighting- Exterior Fixture Retrofit,Lighting,1658104501,Pacfic Gas and Electric Company,-121.7737,38.66605,1658104501,57727106071278,57727106071278,64308007901
35,1750000000000_36,0.15,0,97.64,0,2.36,28.17,2007,246548,3,14.04,1894.5,32.04,19.56,30.77,4.65,0,0,0,,,1701841926,Pacfic Gas and Electric Company,-121.8628,37.71934,1701841926,1750930114579,1750930114579,60001912078
36,7620000000000_37,0.2,0.48,64.06,11.95,23.51,27.08,1962,159167,14,24.29,1894.5,16.2,21.42,36.96,6.25,1,0,0,,,1744410309,Pacfic Gas and Electric Company,-122.1264,37.86641,1744410309,7616300731125,7616300731125,60165000033
37,39700000000000_38,0.14,0,100,0,0,30.77,1921,30978,88.5,13.41,15,98.75,49.49,58.55,41.4,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC,1772718074,Pacfic Gas and Electric Company,-121.241,37.95462,1772718074,39686766042758,39686766042758,63801006431
38,10600000000000_39,0.17,0,100,0,0,29.52,1957,117370,88,13.39,15,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives",Pumps_Motors_Drives,1780265238,Pacfic Gas and Electric Company,-119.5474,36.51821,1780265238,1.062257e+13,1.062257e+13,6.2e+10
39,43700000000000_40,0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,142.5,9.84,52.82,41.31,2.15,0,0,0,HVAC- VAV System,HVAC,1814433759,Pacfic Gas and Electric Company,-122.0521,37.31089,1814433759,43694196046890,43694196046890,6.1e+10
40,27800000000000_41,0.12,0,100,0,0,25.68,2019,54607,80,2,1523.5,49.82,39.52,45.09,30.9,0,0,0,Lighting- Interior Fixture Retrofit,Lighting,1887237777,Pacfic Gas and Electric Company,-121.4348,36.51517,1887237777,27754732730067,27754732730067,60004611204
41,40800000000000_45,0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting,1887279497,Pacfic Gas and Electric Company,-120.6935,35.63929,1887279497,40754576101570,40754576101570,60004807409
44,40800000000000_48,0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,15,46.01,50.32,41.76,37.65,0,0,0,Lighting - Interior Linear Fluorescent  Relamping,Lighting,1887288884,Pacfic Gas and Electric Company,-120.6949,35.65104,1887288884,40754576043137,40754576043137,60004807406
45,40700000000000_50,0.19,0,78.35,1.63,20.02,26.24,1993,92500,69,13.73,1894.5,44.99,50.32,34.66,18.7,0,0,0,,,1897582476,Pacfic Gas and Electric Company,-120.5818,35.07609,1897582476,40687596109342,40687596109342,62308009910
46,15600000000000_51,0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0,Building Envelope- Windows/Skylights,Building_Envelope,2022739961,Pacfic Gas and Electric Company,-119.28,35.50335,2022739961,15635786009989,15635786009989,62145009564
47,10600000000000_53,0.14,0,100,0,0,29.83,1996,91695,40,12.81,241,37.05,29.25,35.98,18.8,0,0,0,,,2043514885,Pacfic Gas and Electric Company,-119.7491,36.87736,2043514885,10621176113583,10621176113583,60903005747
48,10600000000000_55,0.15,0.15,48.18,0,51.67,29.89,1949,131042,81.5,15.33,267,56.04,29.25,59.95,26.1,1,0,0,,,2043520100,Pacfic Gas and Electric Company,-119.672,36.75623,2043520100,10621176005920,10621176005920,60903000918
