"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"1",15,"15600000000000_15",0.11,0.48,99.52,0,0,33.15,2011,28379,93,17.38,1894.5,84.72,27.08,50.34,66.15,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"1070908192","15635290125062"
"2",46,"15600000000000_51",0.13,0,100,0,0,31.36,1999,36250,83.5,19.79,161,45.4,27.08,54.21,39.35,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56358e+13,"2022739961","15635786009989"
"3",94,"15600000000000_104",0.11,0,100,0,0,33.15,1985,28379,98,8.08,36,84.72,27.08,50.34,23.9,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.563529e+13,"2887047833","1.563529e+13"
"4",173,"15600000000000_184",0.12,0,100,0,0,33.16,2008,59603,93,79.76,112.5,84.72,27.08,60.06,27.25,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"4556264632","15635290116400"
"5",184,"15600000000000_195",0.11,0,92.11,0,7.89,34.02,1961,23333,89,64.97,578.5,69.27,27.08,39.57,25.45,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"4930799418","15635291532605"
"6",202,"15600000000000_215",0.12,0,100,0,0,32.66,2008,121750,58.5,59.15,27.5,49.73,27.08,40.16,15.5,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"5731241000","15635290116392"
"7",219,"15600000000000_234",0.14,0,49.85,0,50.15,33.66,1955,56142,90,19.55,55,70.9,27.08,55.77,38.65,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56344e+13,"6499778951","15634386009443"
"8",228,"15600000000000_244",0.13,0,100,0,0,32.92,2003,42200,89,76.34,199,84.72,27.08,54.94,22.4,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56353e+13,"6799256017","15635290100198"
"9",232,"15600000000000_248",0.11,0,71.2,0,28.8,33.72,1930,83108,87.5,16.6,220,70.9,27.08,55.77,26.95,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.56344e+13,"6946811890","15634386009435"
"10",234,"15600000000000_250",0.13,0,100,0,0,33.28,2004,107639,67,3.13,645,84.71,27.08,57.87,24.4,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.563461e+13,"6966730233","1.563461e+13"
