"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"1",10,"52700000000000_10",0.18,0,46.37,0,53.63,28.71,1997,44479,84,14.29,1523.5,69.27,60.29,43.68,32.45,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.271506e+13,"742390430","5.271506e+13"
"2",16,"43700000000000_16",0.12,0,98.64,0,1.36,28.48,1975,148385,50.5,10.51,16,46.54,52.82,27.14,14.1,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"1074845258","43694356095988"
"3",37,"39700000000000_38",0.14,0,100,0,0,30.77,1921,30978,88.5,13.41,15,98.75,49.49,58.55,41.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"1772718074","39686766042758"
"4",39,"43700000000000_40",0.13,0,100,0,0,29.08,1963,176750,6.5,15.42,161,9.84,52.82,41.31,2.15,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"1814433759","43694196046890"
"5",60,"43700000000000_67",0.13,0,100,0,0,27.96,1966,167269,34.5,7.7,241,35.25,52.82,27.26,4.05,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095608645","43694356047120"
"6",61,"43700000000000_68",0.18,0,84.72,1.13,14.15,26.61,1994,250000,6.5,8.28,85.5,22,52.82,30.02,3.3,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095616989","43694356111942"
"7",62,"43700000000000_69",0.09,0,100,0,0,29.67,1962,70966,61,12.83,13,57.49,52.82,27.2,13.85,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095618032","43694356047153"
"8",63,"43700000000000_70",0.1,0,100,0,0,29.42,1965,59635,53,6.69,55,35.96,52.82,39.73,6.05,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095620118","43694356047161"
"9",64,"43700000000000_72",0.14,0,92.93,0,7.07,27.02,1998,250000,9.5,13.96,241,22.02,52.82,21.72,1.55,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095624290","43694356115851"
"10",65,"43700000000000_73",0.11,0,100,0,0,28.55,1985,179583,28,12.63,42.5,33.52,52.82,23.13,6.45,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095625333","43694356105787"
"11",66,"43700000000000_74",0.11,0,99.49,0,0.51,28.82,1967,112014,41,9.13,1894.5,32.48,52.82,31.89,8.1,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095626376","43694356047146"
"12",67,"43700000000000_75",0.1,0,99.17,0,0.83,28.58,1988,138864,45,7.88,145,46.54,52.82,35.93,17.45,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095629505","43694356107593"
"13",68,"43700000000000_76",0.11,0,100,0,0,28.84,1969,142957,38.5,9.21,241,41.77,52.82,17.26,8.4,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"2095630548","43694356067193"
"14",89,"39700000000000_99",0.24,0,100,0,0,26.29,1952,171534,41.5,8.44,27.5,37.33,49.49,63.06,13.55,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.9685e+13,"2526130329","39685026041834"
"15",118,"43700000000000_128",0.08,0,100,0,0,29.39,1950,57049,59.5,8.86,241,79.07,52.82,38.68,36.45,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3056522306","43696666048599"
"16",120,"43700000000000_130",0.11,0,99.2,0,0.8,28.74,1975,129904,58,14.4,464,32.76,52.82,25.85,16.35,0,0,0,"HVAC- VAV System","HVAC",4.369427e+13,"3251860657","4.369427e+13"
"17",121,"43700000000000_131",0.13,0,99.84,0,0.16,29.07,1962,142162,9,9.93,241,16.56,52.82,21.23,4.65,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"3283170106","43694196047005"
"18",122,"43700000000000_132",0.13,0,100,0,0,28.83,1957,236324,33,9.64,241,11.12,52.82,28.54,12.75,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"3283171149","43694196046742"
"19",123,"43700000000000_133",0.16,0,100,0,0,27.21,1957,213906,2.5,14.49,85.5,8.54,52.82,33.59,2.5,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"3283173235","43694196046981"
"20",124,"43700000000000_134",0.13,0,97.04,0,2.96,29.58,1957,175385,7,15.5,27.5,13.09,52.82,32.31,2.5,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"3283180536","43694196047047"
"21",141,"24700000000000_152",0.2,0,81.63,0,18.37,29.14,1953,58750,37.5,30.06,199,80.7,37.03,54.66,9.7,0,0,0,"HVAC Controls- Energy Management System","HVAC",2.46576e+13,"3923164350","24657636025589"
"22",142,"43700000000000_153",0.09,0,100,0,0,29.33,1965,77813,78,11.88,27.5,63.73,52.82,52.87,28.45,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970495881","43696666048649"
"23",143,"43700000000000_154",0.14,0,100,0,0,28.13,1992,138295,10,14.9,220,29.98,52.82,38.78,18.9,0,0,0,"HVAC- VAV System","HVAC",4.369666e+13,"3970508397","4.369666e+13"
"24",144,"43700000000000_155",0.14,0,100,0,0,27.92,1930,177639,37,9.94,361.5,28.01,52.82,28.94,11.6,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970520913","43696666048672"
"25",145,"43700000000000_156",0.16,0,100,0,0,27.39,1957,235893,25.5,13.79,161,35.85,52.82,43.97,22.05,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970522999","43696666048763"
"26",146,"43700000000000_157",0.12,1.68,98.16,0,0.16,28.17,2014,99531,67,23.31,220,30.06,52.82,30.83,18.9,0,0,0,"HVAC- VAV System","HVAC",4.369666e+13,"3970531343","4.369666e+13"
"27",147,"43700000000000_158",0.12,0,100,0,0,28.55,2000,170405,50.5,24.94,199,40.86,52.82,35.55,22.95,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970545945","43696666048714"
"28",148,"43700000000000_159",0.15,0,100,0,0,27.45,1931,245125,52.5,21.14,85.5,30.76,52.82,41.22,22.3,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970593923","43696666062111"
"29",149,"43700000000000_160",0.15,0,100,0,0,27.83,1959,250000,8,9.23,161,27.07,52.82,29.85,6.15,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970600181","43696666048474"
"30",150,"43700000000000_161",0.09,0,100,0,0,29.17,1930,133676,65,10.44,112.5,64.26,52.82,55.88,28.85,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"3970611654","43696666048433"
"31",151,"39700000000000_162",0.15,0,100,0,0,29.48,1950,69542,87.5,22.51,164,71.8,49.49,47.26,32.55,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"4007683985","39686766042535"
"32",152,"39700000000000_163",0.07,0,100,0,0,30.77,2013,31467,88,9.57,125.5,74.6,51.99,49.34,70.1,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"4043583595","39686763930211"
"33",153,"39700000000000_164",0.12,2.46,97.54,0,0,29.55,2000,35366,88,2,504.5,110.96,53.65,38.35,34,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.968676e+13,"4043584638","3.968676e+13"
"34",154,"39700000000000_165",0.15,0,100,0,0,30.74,1949,53155,82.5,13.45,615,57.92,49.49,42.43,37.25,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"4043592982","39686766042550"
"35",155,"39700000000000_166",0.15,0,100,0,0,29.49,1991,60114,86.5,9.2,241,81.46,49.49,46.29,40.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"4043596111","39686766042824"
"36",156,"39700000000000_167",0.12,0,100,0,0,30.61,2018,38750,89.5,16.61,27.5,98.75,49.49,58.55,33.7,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"4043606541","39686766042568"
"37",167,"43700000000000_178",0.12,0,98.57,0,1.43,29.28,1965,249519,7,7.98,161,10.91,52.82,36.75,5,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"4326237130","43694196046841"
"38",186,"43700000000000_197",0.12,0,100,0,0,28.86,2019,250000,23,16.01,1894.5,13.01,52.82,27.74,7.45,0,0,0,"HVAC- VAV System","HVAC",4.369468e+13,"5168644017","4.369468e+13"
"39",199,"43700000000000_212",0.12,0,100,0,0,28.89,1963,185795,8.5,15.67,645,13.01,52.82,33.17,6.7,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"5487385010","43694196046957"
"40",203,"43700000000000_216",0.11,0,100,0,0,28.66,1959,160779,43.5,12.99,205,29.3,52.82,39.16,12.85,1,0,0,"HVAC- VAV System","HVAC",4.37339e+13,"5741349961","43733876047583"
"41",214,"43700000000000_229",0.11,0,98.38,0,1.62,29.33,2011,93269,44,28.75,13,59.06,52.82,45.85,18,1,0,0,"HVAC- VAV System","HVAC",4.36948e+13,"6293420743","43694840123760"
"42",231,"39700000000000_247",0.25,0,100,0,0,26.61,1954,111250,46,13,1523.5,28.96,49.49,47.93,12.05,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96858e+13,"6941221009","39685776041974"
"43",251,"43700000000000_268",0.12,0,100,0,0,29.04,2005,237083,6.5,20.92,112.5,9.86,52.82,42.23,3.1,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"7177729135","43694190108126"
"44",254,"39700000000000_271",0.12,0,100,0,0,30.48,1950,56078,84.5,19.07,1894.5,102.71,49.49,43.87,39.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"7232467911","39686760111351"
"45",262,"39700000000000_279",0.13,0,100,0,0,30.88,1959,48176,91.5,20.04,241,102.68,49.49,48.53,32.15,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96868e+13,"7451393203","39686766042519"
"46",263,"24700000000000_280",0.23,5.64,36.12,0,58.24,28.73,1952,44792,78,4.88,32.5,72.17,37.03,51.11,32.15,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46584e+13,"7542253129","24658396025795"
"47",270,"24700000000000_287",0.22,0,100,0,0,28.52,1929,59464,89.5,15.48,205,126.44,37.03,46.94,15.1,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46582e+13,"7691478358","24658216025787"
"48",271,"24700000000000_288",0.22,8.78,84.86,2.86,0,28.52,2003,59464,89.5,15.48,1523.5,126.44,19.56,46.94,15.1,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46582e+13,"7691479401","24658216025787"
"49",272,"24700000000000_289",0.09,0,100,0,0,28.8,1996,133846,89.5,15.48,14.5,32.86,19.56,32.6,15.1,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46582e+13,"7691480444","24658216025787"
"50",273,"24700000000000_290",0.16,0,99.01,0,0.99,30.52,2005,46813,89.5,15.48,205,75.87,37.03,43.88,15.1,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46582e+13,"7691483573","24658216025787"
"51",274,"24700000000000_291",0.16,0,70.71,0,29.29,30.52,1963,33309,91,15.48,205,75.87,37.03,43.88,15.1,1,0,0,"HVAC Controls- Energy Management System","HVAC",2.46582e+13,"7691484616","24658216025787"
"52",286,"43700000000000_303",0.15,0,98.57,0,1.43,28.33,2009,211860,9,7.04,241,10.29,52.82,24.46,5.7,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"7874292686","43694196067185"
"53",290,"52700000000000_307",0.2,0,17.46,0,82.54,29.14,2006,47886,95,31.5,205,67.11,60.29,29.97,13.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.271654e+13,"7909934119","5.271654e+13"
"54",294,"43700000000000_314",0.13,0,96.64,0,3.36,29.14,2001,70125,60.5,8.5,161,39.03,52.82,53.59,22.4,0,0,0,"HVAC- VAV System","HVAC",4.36958e+13,"8002717977","43695836118376"
"55",303,"52700000000000_323",0.2,0,96.09,0,3.91,27.39,1943,65607,77.5,16.71,27.5,83.49,60.29,42.46,43.4,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",5.27162e+13,"8173254024","52716216053623"
"56",304,"43700000000000_324",0.13,0,99.92,0,0.08,26.82,2004,238472,14,7.89,1894.5,26.77,52.82,14.16,3.9,0,0,0,"HVAC- VAV System","HVAC",4.36944e+13,"8178677571","43694350102616"
"57",308,"43700000000000_328",0.13,0,100,0,0,29.92,1965,234643,21,10.2,85.5,18.38,52.82,38.76,11.5,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"8284049313","43694196046965"
"58",327,"16600000000000_347",0.15,0,100,0,0,30.74,1942,53688,71,24.45,1523.5,94.42,29.25,63.75,15.7,1,0,0,"HVAC Controls- Programmable/Smart Thermostats","HVAC",1.663883e+13,"8856030094","1.663883e+13"
"59",328,"16600000000000_348",0.15,9.09,78.25,0,0,30.74,1942,53688,89,10.96,205,46.15,51.99,62.72,15.7,1,0,0,"HVAC Controls- Programmable/Smart Thermostats","HVAC",1.663883e+13,"8856031137","1.663883e+13"
"60",329,"43700000000000_349",0.12,0.97,98.3,0,0.73,29.45,1992,44760,100,72.33,42.5,26.65,52.82,24.99,28.8,0,0,0,"HVAC- VAV System","HVAC",4.36967e+13,"8880147611","43696664330452"
"61",330,"43700000000000_350",0.11,0,100,0,0,29.01,2005,237083,81,12.99,85.5,9.86,52.82,42.23,3.9,0,0,0,"HVAC- VAV System","HVAC",4.369419e+13,"8886784528","4.369419e+13"
"62",333,"43700000000000_354",0.12,0,100,0,0,29.42,1998,250000,7.5,12.28,112.5,10.1,52.82,36.13,3.3,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"8950800420","43694196046718"
"63",334,"43700000000000_356",0.15,1.46,93.34,0,5.2,28.61,1977,97171,57,50.95,615,59.06,52.82,36.99,22.25,0,0,0,"HVAC- VAV System","HVAC",4.36948e+13,"8995321671","43694844332839"
"64",336,"43700000000000_358",0.13,0,100,0,0,28.97,1950,250000,7,12.39,161,9.84,52.82,41.31,3,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"9020196870","43694196046940"
"65",337,"43700000000000_359",0.14,0,100,0,0,28.89,1955,220216,11.5,26.32,53.5,12.22,52.82,30.41,3.55,0,0,0,"HVAC- VAV System","HVAC",4.36942e+13,"9024056196","43694196046767"
"66",364,"43700000000000_386",0.15,0,89.03,0,10.97,28.98,1955,152500,56.5,14.83,1894.5,36.24,52.82,37.77,23.95,0,0,0,"HVAC- VAV System","HVAC",4.36958e+13,"9335091387","43695836047948"
