"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"1",1,"27800000000000_1",0.13,0,99.64,0,0.36,26.74,1997,73614,70,59.75,42.5,49.82,39.52,45.09,22.75,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"308398136","27754730000000"
"2",2,"27800000000000_2",0.13,0,100,0,0,26.83,2005,69531,89.5,13.25,14.5,49.82,39.52,45.09,19,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"318817931","27754736026090"
"3",3,"1610000000000_3",0.16,0,35.48,0,64.52,31.64,1963,74788,19,5.14,241,30.08,19.56,36.19,13.8,0,0,0,"Lighting- Retrofit Interior Lamps to LED","Lighting",1.612e+12,"377163508","1.612e+12"
"4",4,"42700000000000_4",0.16,0,87.3,1.37,11.33,29.92,1938,78030,37,26.01,1523.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26934e+13,"550033730","42693366046072"
"5",5,"42700000000000_5",0.14,0,73.28,3.88,22.84,29.83,1938,78030,49,35.28,205,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"550034773","4.269336e+13"
"6",6,"42700000000000_6",0.14,0,89.25,0,0,29.83,1938,78030,91,14.94,14.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"550036859","4.269336e+13"
"7",7,"42700000000000_7",0.14,0,85.53,1.89,12.58,29.89,1938,78030,37,26.01,32.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26934e+13,"550037902","42693366046072"
"8",8,"42700000000000_8",0.14,18.23,58.42,0,14.79,29.83,1938,78030,60,32.5,32.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"633025858","4.269336e+13"
"9",9,"42700000000000_9",0.14,0,40.06,0,12.55,29.83,1938,78030,76,9.94,14.5,37.27,51.99,28.63,9.25,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.269336e+13,"633071750","4.269336e+13"
"10",12,"31700000000000_12",0.22,0,51.07,9.91,39.02,26.83,1963,97604,20,5.61,38.5,23.87,42.85,30.44,18.55,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",3.16685e+13,"1026095425","31668520109827"
"11",14,"45700000000000_14",0.22,2.94,24.09,8.66,64.31,26.96,2016,95625,82,12.76,205,27.09,54.48,15.92,46.75,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.569872e+13,"1049751949","4.569872e+13"
"12",18,"29700000000000_18",0.25,0.96,19.9,44.9,34.24,25.2,2004,63958,95,20.15,205,54.74,41.19,29.64,15,1,1,1,"Lighting- Interior Fixture Retrofit","Lighting",2.966316e+13,"1104722251","2.966316e+13"
"13",19,"29700000000000_19",0.23,0.4,53.07,20.51,26.02,26.23,2017,139143,44.5,5.11,13,22.31,34.92,30.01,23.35,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.96636e+13,"1112988581","29663570124834"
"14",20,"29700000000000_20",0.23,1.71,56.64,0,0.16,26.23,2010,139143,44.5,5.11,241,23.8,34.92,37.43,18.9,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.96636e+13,"1112989624","29663570124834"
"15",24,"27700000000000_25",0.12,0,99.19,0,0.81,25.9,2000,60875,95,17.74,241,61.88,39.52,37.44,19.05,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",NA,"1.18e+09","NA"
"16",25,"16700000000000_26",0.1,0,73.91,0,26.09,34.95,1992,59024,71,27.24,1523.5,45.07,42.51,20.5,25.95,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.673932e+13,"1211578055","1.673932e+13"
"17",27,"42700000000000_28",0.17,0,41.78,0,58.22,28.67,1961,67130,89,13.38,241,41.05,51.99,33.96,20.65,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26912e+13,"1316263193","42691206045975"
"18",28,"42700000000000_29",0.19,0,52.22,21.43,26.35,26.92,1966,98429,35.5,32.13,98.5,44.75,51.99,31.91,22.2,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26923e+13,"1335294241","42692294230454"
"19",33,"54700000000000_34",0.17,0,88.8,0,11.2,29.39,1953,52688,95,28.38,205,57.95,61.96,55.28,19.45,1,0,0,"Lighting Controls","Lighting",5.47186e+13,"1631302398","54718606053938"
"20",34,"57700000000000_35",0.19,0,100,0,0,28.11,1912,78750,59.5,16.75,42.5,51.44,64.45,45.88,17.55,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"1658104501","57727106071278"
"21",40,"27800000000000_41",0.12,0,100,0,0,25.68,2019,54607,98,9.68,83,49.82,39.52,45.09,29.7,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.77547e+13,"1887237777","27754732730067"
"22",41,"40800000000000_45",0.13,0,95.7,1.51,2.79,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887279497","40754576101570"
"23",42,"40800000000000_46",0.13,0,100,0,0,31.36,2003,87344,59,14.63,205,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887280540","40754576101570"
"24",43,"40800000000000_47",0.13,0,100,0,0,31.54,2003,87344,59,14.63,13,46.01,50.32,41.76,26.05,1,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887283669","40754576101570"
"25",44,"40800000000000_48",0.15,9.38,60.58,1.74,28.3,31.03,1948,87344,54.5,18.63,278.5,46.01,50.32,41.76,37.65,0,0,0,"Lighting - Interior Linear Fluorescent  Relamping","Lighting",4.07546e+13,"1887288884","40754576043137"
"26",69,"29700000000000_77",0.28,0.48,16.92,77.2,5.4,23.76,1985,92413,28,9.01,14.5,61.64,19.56,30.17,19.85,1,1,1,"Lighting- Interior Fixture Retrofit","Lighting",2.96637e+13,"2158181651","29663736105811"
"27",70,"54700000000000_78",0.18,0,89.31,0,10.69,29.26,1998,46111,80,221.59,27.5,35.83,19.56,56.88,26.6,1,0,0,"Lighting Controls","Lighting",5.472009e+13,"2293579535","5.472009e+13"
"28",83,"9620000000000_92",0.19,0.32,81.36,3.24,15.07,27.79,1978,184936,22,18.21,241,34.49,18.13,20.54,15.05,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",9.61978e+12,"2429030612","9.61978e+12"
"29",86,"17600000000000_95",0.17,0,81.88,0.32,17.81,29.22,1921,50958,64.5,13.19,241,69.99,20.46,35.75,27.85,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.76401e+13,"2470657642","17640141734359"
"30",87,"17600000000000_96",0.18,0,40.06,7.29,52.64,28.72,1979,52250,79.5,19.99,23,69.99,20.46,35.75,30.2,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.76401e+13,"2470670158","17640146010607"
"31",88,"23700000000000_98",0.21,0.4,39.38,5.09,55.13,28.97,1930,49375,100,25.17,205,62.7,36.2,21,14.05,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.36561e+13,"2522804595","23656072330033"
"32",91,"41700000000000_101",0.15,0,100,0,0,27.17,1923,138869,38.5,62.98,85.5,20.95,51.16,36.06,20.75,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.16906e+13,"2595719171","41690624136693"
"33",93,"15700000000000_103",0.13,0,98.65,0,1.35,32.41,1998,39063,88,13.5,14.5,59.59,27.08,49.45,18.45,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.57391e+13,"2875427394","15739086106306"
"34",95,"9620000000000_105",0.16,0,76.97,4.94,18.09,27.96,1931,44803,66,2,16,45.48,18.13,33.85,17.1,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",9.61853e+12,"2887185563","9.61853e+12"
"35",111,"44700000000000_121",0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,1894.5,56.91,53.65,44.73,35.45,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",4.4698e+13,"2955554168","44697990102673"
"36",114,"57700000000000_124",0.19,0,98.69,0,1.31,29.93,2011,97778,78,9.91,241,52.82,64.45,49.08,30.7,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77269e+13,"3053867864","57726866056311"
"37",115,"57700000000000_125",0.19,0,100,0,2.47,29.93,1959,97778,78,9.91,267,52.82,64.45,49.08,30.7,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77269e+13,"3053868907","57726866056311"
"38",116,"57700000000000_126",0.19,0,100,0,2.08,29.93,1938,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77269e+13,"3053869950","57726866056311"
"39",117,"57700000000000_127",0.19,0,98.73,0,0.08,29.93,1921,97778,78,9.91,42.5,52.82,64.45,49.08,30.7,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77269e+13,"3053870993","57726866056311"
"40",127,"23700000000000_137",0.25,4.62,30.65,9.95,54.78,18.43,2003,66500,60,18.91,13,21.59,36.2,29.06,39.95,1,1,1,"Lighting- Interior Fixture Retrofit","Lighting",2.3656e+13,"3529745834","23655992333649"
"41",128,"42700000000000_138",0.12,0,97,0,3,27.67,2004,79000,80,30.24,1894.5,54.4,51.99,33.7,29.45,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",4.26912e+13,"3649868156","42691200102863"
"42",129,"28700000000000_139",0.17,2.15,97.85,0,0,27.52,1976,55938,85.5,11.12,85.5,43.69,40.35,46.85,28.6,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"3675927659","28662666026934"
"43",130,"15100000000000_140",0.16,0,80.88,0,19.12,33.27,2011,49594,83,54.75,27.5,41.66,27.08,44.41,22.25,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",1.51016e+13,"3722493661","15101570124040"
"44",131,"28700000000000_141",0.15,0,100,0,0,29.33,2017,133214,85.5,7.11,161,37.4,40.35,38.37,33.5,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"3737935220","28662666026850"
"45",132,"28700000000000_142",0.2,0,89,0,11,28.99,1930,95994,75.5,12.82,1523.5,36.71,40.35,27.15,10.9,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86624e+13,"3747215642","28662412831758"
"46",133,"28700000000000_143",0.13,0,99.25,0,0.75,29.95,2003,90714,42,2,645,42.44,40.35,46.33,20.55,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"3769224852","28662660101964"
"47",134,"10800000000000_144",0.13,0,100,0,0,31.98,1951,34750,86.5,21.95,112.5,45.47,29.25,52.37,48.95,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.07523e+13,"3783055344","10752346007223"
"48",135,"16700000000000_145",0.1,0,21.88,0,76.09,34.95,1980,59024,86,12.25,205,45.07,42.51,20.5,25.95,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.673932e+13,"3783077247","1.673932e+13"
"49",136,"16700000000000_146",0.1,0,65.53,0,0.88,34.95,2008,59024,78.5,46.29,14.5,45.07,42.51,20.5,25.95,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.673932e+13,"3783078290","1.673932e+13"
