"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"1",38,"10600000000000_39",0.17,0,100,0,0,29.52,1957,117370,66,18.35,645,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062257e+13,"1780265238","1.062257e+13"
"2",182,"10600000000000_193",0.17,0,100,0,0,29.52,1957,117370,67,33,112.5,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062257e+13,"4731879290","1.062257e+13"
"3",222,"10600000000000_238",0.18,0,100,0,0,28.17,1962,78611,50,12.95,615,54.54,29.25,37.56,22.9,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"6751786236","10621666006381"
"4",230,"10600000000000_246",0.14,0,100,0,0,29.76,1952,81208,68.5,15.21,267,71.87,29.25,56.21,26.8,1,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06224e+13,"6908146928","10622406006704"
"5",239,"10600000000000_256",0.11,0,98.73,0,1.27,29.96,1967,49107,68,21.79,32.5,62.75,29.25,39.36,17.5,1,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062117e+13,"7100767628","1.062117e+13"
"6",249,"10600000000000_266",0.14,0,13.34,76.33,10.33,28.09,2018,65556,65,7.45,32.5,24.06,29.25,32.39,26.6,1,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062372e+13,"7152425275","1.062372e+13"
"7",250,"10600000000000_267",0.14,0,99.9,0,0,28.09,1920,65556,24,35.71,205,24.06,29.25,32.39,26.6,1,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062372e+13,"7152426318","1.062372e+13"
"8",257,"10600000000000_274",0.25,0,100,0,0,27.55,1953,50833,88,3,28,139.35,29.25,58.31,34.9,1,1,1,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062539e+13,"7313951402","1.062539e+13"
"9",269,"10600000000000_286",0.17,0,100,0,0,33.28,1958,71058,82,25.93,53.5,87.57,29.25,64.73,22.65,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062356e+13,"7668177497","1.062356e+13"
"10",287,"10600000000000_304",0.16,0,100,0,0,29.72,2007,66875,66,16.99,267,71.87,29.25,56.21,31.25,1,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06224e+13,"7898968205","10622400113142"
"11",289,"10600000000000_306",0.17,0,83.33,0,16.67,29.52,1957,117370,27,12.25,1894.5,71.87,29.25,56.21,17.1,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062257e+13,"7904991841","1.062257e+13"
"12",302,"10600000000000_322",0.16,0,100,0,0,30.67,1956,66597,90.5,14.89,16,86.64,29.25,43.3,38.85,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"8073405004","10621666006191"
"13",309,"10600000000000_329",0.16,0,100,0,0,28.74,1956,45913,87,12.6,241,80.23,29.25,42.53,28.75,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06241e+13,"8449886506","10624146007215"
"14",310,"10600000000000_330",0.16,0,96.74,0,3.26,28.86,1948,38750,65,65.96,83,78.21,29.25,50.79,20.6,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062414e+13,"8449892764","1.062414e+13"
"15",311,"10600000000000_331",0.16,0,99.6,0,0.4,28.92,1948,38750,88,18.75,83,78.21,29.25,50.79,20.6,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.062414e+13,"8449895893","1.062414e+13"
"16",312,"10600000000000_332",0.16,0,91.96,0,8.04,28.26,1955,57875,85.5,7.72,220,80.23,29.25,49.34,28.3,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06241e+13,"8460076841","10624146007140"
"17",416,"10600000000000_443",0.13,0,100,0,0,30.73,1959,21938,95,17.17,361.5,86.38,29.25,44.97,52.55,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772697745","10621666006597"
"18",418,"10600000000000_445",0.14,0.96,99.04,0,0,30.44,1960,36196,90,16.29,85.5,64.56,29.25,48.77,47.15,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772707132","10621666006548"
"19",421,"10600000000000_449",0.14,0,100,0,0,30.68,1949,48250,66.5,10.41,241,132.71,29.25,52.8,13.05,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772723820","10621666103832"
"20",422,"10600000000000_450",0.13,0,100,0,0,30.86,1962,51985,90,20.32,27.5,86.38,29.25,51.85,42.65,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772724863","10621666006456"
"21",423,"10600000000000_451",0.15,0.72,99.28,0,0,30.7,1970,92056,70,18.12,164,86.38,29.25,49.24,28.85,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772727992","10621666068704"
"22",424,"10600000000000_452",0.16,0,100,0,0,30.45,1952,40547,91.5,18.35,241,115.2,29.25,40.93,45,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772730078","10621666006464"
"23",426,"10600000000000_454",0.13,0,100,0,0,31.45,1954,59097,93.5,16.79,98.5,117.63,29.25,48.14,39.3,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772736336","10621666006589"
"24",427,"10600000000000_455",0.15,0,100,0,0,30.02,1965,53553,96,19.11,55,79.02,29.25,43.36,50.7,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772737379","10621666057293"
"25",428,"10600000000000_456",0.17,0,100,0,0,28.39,1958,82961,81.5,20.58,361.5,71.79,29.25,40.24,30.05,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772740508","10621666006431"
"26",429,"10600000000000_457",0.18,0,100,0,0,28.23,1958,82961,81.5,20.58,278.5,71.79,29.25,40.24,30.05,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772741551","10621666006431"
"27",431,"10600000000000_459",0.14,0.56,99.44,0,0,30.49,1959,47321,87,13.58,13,125.69,29.25,41.91,19.75,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772744680","10621666057285"
"28",432,"10600000000000_460",0.13,0,100,0,0,31.21,1952,30125,94.5,14.32,241,141.83,29.25,51.06,51.45,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772745723","10621666006290"
"29",433,"10600000000000_461",0.14,0,99.57,0,0.43,30.61,1955,79886,93.5,22.27,38.5,132.71,29.25,52.8,50.2,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772746766","10621666006449"
"30",434,"10600000000000_462",0.13,0,100,0,0,30.86,1952,54621,86,25.09,241,73.02,29.25,42.03,33.6,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772750938","10621666006225"
"31",435,"10600000000000_463",0.11,0,100,0,0,31.55,1950,32738,97,20.83,241,100.89,29.25,48.92,37.6,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772751981","10621666061204"
"32",436,"10600000000000_464",0.13,0,100,0,0,31.14,1960,42361,96.5,19.46,241,107.23,29.25,47.72,40.85,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772753024","10621666006217"
"33",437,"10600000000000_465",0.13,0,100,0,0,30.67,1962,63616,91,17.53,615,80.43,29.25,50.13,35.8,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772754067","10621666061196"
"34",439,"10600000000000_467",0.12,16.28,83.72,0,0,30.86,1960,65450,90.5,13.51,13,131.86,29.25,54.69,37.65,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772757196","10621666006530"
"35",440,"10600000000000_468",0.15,1.7,97.01,0,1.29,29.39,1963,74219,76.5,27.55,55,63.8,29.25,39.64,38.65,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772758239","10621666006233"
"36",441,"10600000000000_469",0.14,0.81,98.21,0,0.98,31.14,1972,82292,82,15.95,336,86.38,29.25,49.24,30.3,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772760325","10621666085120"
"37",442,"10600000000000_470",0.14,0,99.87,0,0.13,31.17,1968,76204,87,20.19,1894.5,86.38,29.25,49.24,30.9,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772761368","10621666061188"
"38",443,"10600000000000_471",0.14,0,100,0,0,30.24,1955,54542,92.5,15.6,241,127.72,29.25,44.43,49,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772763454","10621666085138"
"39",444,"10600000000000_472",0.12,0,100,0,0,31.08,1960,62083,94.5,21.21,241,107.23,29.25,47.72,42.15,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772764497","10621666006423"
"40",446,"10600000000000_474",0.18,0,100,0,0,28.42,1958,82961,44,4.07,615,81.36,29.25,42.66,42.05,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772766583","10621666057350"
"41",447,"10600000000000_475",0.15,0,100,0,0,30.39,1952,47321,95,21.26,241,125.69,29.25,41.91,51.3,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772767626","10621666006563"
"42",448,"10600000000000_476",0.14,0,100,0.56,1.75,30.49,1959,47321,87,13.58,42.5,125.69,29.25,41.91,19.75,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772768669","10621666057285"
"43",449,"10600000000000_480",0.1,0,100,0,0,31.67,1953,34904,95.5,20.76,241,136.39,29.25,54.62,42.25,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9772796830","10621666006316"
"44",451,"10600000000000_482",0.13,0,100,0,0,31.35,1963,31250,97.5,13.26,1894.5,100.89,29.25,48.92,44.25,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9782987165","10621666006407"
"45",452,"10600000000000_483",0.11,0,99.87,0,0.13,31.64,1909,43571,98,15.51,161,54.19,29.25,41.16,36.65,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9782998638","10621666006365"
"46",454,"10600000000000_485",0.15,4.24,69.25,0,26.5,30.9,1973,18942,77,11.39,129,139.45,29.25,67.85,27.75,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783001767","10621666088942"
"47",455,"10600000000000_486",0.14,0,100,0,0,31.52,1991,32188,94,16.61,1894.5,112.4,29.25,54.36,37.7,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783003853","10621666109961"
"48",456,"10600000000000_487",0.11,0,100,0,0,31.35,2000,50991,95,25.99,53.5,74.51,29.25,48.4,46.85,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783004896","10621666117477"
"49",457,"10600000000000_488",0.13,1.61,78.38,0,20.02,31.8,2000,81859,89.5,23.92,164,54.65,29.25,42.53,27.85,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783005939","10621666112882"
"50",458,"10600000000000_489",0.12,0,97.91,0,2.09,32.48,1994,74688,84.5,25.11,199,82.06,29.25,56.02,27.55,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783006982","10621666111249"
"51",460,"10600000000000_491",0.11,0,100,0,0,31.3,1994,26949,81,19.38,125.5,119.77,29.25,46.63,33.55,0,0,0,"Pumps, Motors, Drives- Variable Frequency Drives","Pumps_Motors_Drives",1.06217e+13,"9783010111","10621666111256"
